Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94)
6.101118196307488e-15,0.13078664457417802,0.46346346346346345,0.0,0.0,0.0,0.07307307296466835,0.0,1.2674074799327252e-15,6.29818305986561e-20,1.040206138094274e-20,3.172458797321094e-17,2.0481028805836574e-24,8.814002944032747e-16,4.242670649317521e-22,0.0,0.46346346346346345,3.4981271674500094e-13,7.374373211060725e-11,7.374424851922235e-11,6.862106356400991e-11,1.9737747189053295e-13,1.5231043107044668e-13,3.2861342470878187e-18,1.060090776967484e-23,3.693481652055074e-26,4.4539602512692846e-32,1.0858337143286086e-24,3.761706640274155e-26,7.895399208733666e-33
9.151682466451979e-15,0.1307866445812672,0.46346346346346345,0.0,0.0,0.0,0.0730730729104659,0.0,2.6240016762529755e-15,1.3039607695031084e-19,2.153609270739692e-20,6.56815660793714e-17,5.593994800557611e-24,1.824822685483792e-15,8.783900222179059e-22,0.0,0.46346346346346345,5.247866107823732e-13,1.1061548843407465e-10,1.1061655759192473e-10,1.029311359575424e-10,2.9606567340496636e-13,2.284639114475604e-13,6.803486660121254e-18,2.734641069574568e-23,1.2323248069121947e-25,1.7777545260466458e-31,2.962748224536163e-24,1.0274347053116014e-25,2.760296597629146e-32
1.220224673659647e-14,0.1307866445883564,0.46346346346346345,0.0,0.0,0.0,0.07307307285626345,0.0,4.462730931803971e-15,2.2176982631660274e-19,3.662715463459862e-20,1.1170684273355136e-16,1.1704487863758788e-23,3.1035369584217178e-15,1.4939092268723575e-21,0.0,0.46346346346346345,6.998053506690973e-13,1.4748712987700552e-10,1.4748894823297742e-10,1.37240863163015e-10,3.9475340688308883e-13,3.046161484518696e-13,1.157088650761568e-17,5.444398357647371e-23,2.964021521012955e-25,4.825387022739348e-31,6.193497017789409e-24,2.1497290952405756e-25,6.895655372016262e-32
1.5252811006740962e-14,0.13078664459544567,0.46346346346346345,0.0,0.0,0.0,0.073073072802061,0.0,6.818029861719288e-15,3.388145246177576e-19,5.59578532975548e-20,1.7066232133786636e-16,2.130753161402365e-23,4.741489190117868e-15,2.282352034285383e-21,0.0,0.46346346346346345,8.748721396356894e-13,1.8435864823400099e-10,1.8436142626826458e-10,1.7155022052757304e-10,4.934406388970387e-13,3.8076705329270473e-13,1.7677600925922562e-17,9.436603036813466e-23,6.055769519800951e-25,1.0919856623283306e-30,1.1264735759415469e-23,3.913484412509011e-25,1.4626496634790012e-31
2.1353939547029943e-14,0.13078664460962441,0.46346346346346345,0.0,0.0,0.0,0.07307307269365611,0.0,1.3110760229690228e-14,6.51529625924909e-19,1.0760420642751417e-19,3.2817528540586036e-16,5.625784361073456e-23,9.117650113852772e-15,4.3888640886745166e-21,0.0,0.46346346346346345,1.2251528826712889e-12,2.581013079610402e-10,2.5810665000825027e-10,2.401678025259703e-10,6.908135670557438e-13,5.330647829520632e-13,3.3992956555509857e-17,2.2119401504221835e-22,1.987551835451805e-24,4.449927548420871e-30,2.966831782029176e-23,1.0332640678638636e-24,5.354643243381115e-31
3.3556196627607905e-14,0.13078664463798279,0.46346346346346345,0.0,0.0,0.0,0.07307307247684632,0.0,3.198590565662889e-14,1.5895411520939569e-18,2.6251756131063175e-19,8.006358404749112e-16,2.175371541247555e-22,2.2243951367770567e-14,1.0707400273544818e-20,0.0,0.46346346346346345,1.9262994271157483e-12,4.055851287037781e-10,4.0559816160098574e-10,3.7739846344435445e-10,1.0855533175983203e-12,8.376440228348981e-13,8.293022062029529e-17,6.817836878091425e-22,1.0097613792299004e-23,2.95309897273799e-29,1.1407309691387887e-22,3.995369216990491e-24,3.389570858269796e-30
4.575845370818587e-14,0.13078664466634227,0.46346346346346345,0.0,0.0,0.0,0.07307307226003652,0.0,5.925431849879306e-14,2.9446888881381194e-18,4.863155809817438e-19,1.4831835200533648e-15,5.398668971090945e-22,4.120706385764079e-14,1.9835649832479593e-20,0.0,0.46346346346346345,2.6282267177577196e-12,5.530669494652117e-10,5.53091093208223e-10,5.146231152763422e-10,1.4802849202817168e-12,1.142201619347587e-12,1.5362716928301947e-16,1.4344350043293443e-21,2.8639737084259613e-23,9.433279050099792e-29,2.818182897339847e-22,9.915314785198201e-24,1.1028724549579231e-29
7.01629678693418e-14,0.13078664472306464,0.46346346346346345,0.0,0.0,0.0,0.07307307182641694,0.0,1.3896193944079155e-13,6.906036662516662e-18,1.1404880138993984e-18,3.478303895649183e-15,1.9607486791873077e-21,9.663712927090352e-14,4.651837558830977e-20,0.0,0.46346346346346345,4.0344228142722414e-12,8.480245929916288e-10,8.480812150144491e-10,7.890543984664556e-10,2.2697236907381175e-12,1.7512519103623782e-12,3.602724290330968e-16,3.86031228663688e-21,1.227734723816792e-22,4.703779660322415e-28,1.0124734690651507e-21,3.601084408944056e-23,6.292823251263752e-29
1.1897199619165366e-13,0.13078664483652291,0.46346346346346345,0.0,0.0,0.0,0.07307307095917778,0.0,3.9904953044318985e-13,1.9832991731774217e-17,3.2750258382625606e-18,9.988303314363563e-15,9.797597204812383e-21,2.775029639633554e-13,1.335857630199875e-19,0.0,0.46346346346346345,6.856180798603365e-12,1.4379158893585014e-09,1.4380784916259806e-09,1.3378448928777298e-09,3.848503502032059e-12,2.9690929436960815e-12,1.0345125947302733e-15,1.2423726162594598e-20,7.088953021134797e-22,3.0814521480035054e-27,4.9424637863966834e-21,1.7993402414354844e-22,5.611456180012714e-28
2.1659005283627738e-13,0.13078664506349352,0.46346346346346345,0.0,0.0,0.0,0.07307306922469949,0.0,1.3218330702552987e-12,6.570467021252223e-17,1.0848016560112093e-17,3.308474108053127e-14,6.072890411848282e-20,9.191839176150458e-13,4.425064503005482e-19,0.0,0.4634634634634634,1.2537158358968661e-11,2.6176025283042368e-09,2.6181411668892606e-09,2.435137669393255e-09,7.005672280841586e-12,5.403737278381959e-12,3.4263576509515445e-15,4.4419312049095006e-20,4.8465699709443904e-21,2.285265522718216e-26,2.923494262470865e-20,1.11520188378904e-21,6.571293611294063e-27
3.142081094809011e-13,0.1307866452905363,0.46346346346346345,0.0,0.0,0.0,0.07307306749022124,0.0,2.7813312007938306e-12,1.3826809858514875e-16,2.282518561023265e-17,6.961327663889215e-14,1.785480303010253e-19,1.9340410926765426e-12,9.311162571987486e-19,0.0,0.46346346346346334,1.826808348803421e-11,3.797161238401994e-09,3.798294660087551e-09,3.532046254792477e-09,1.016232002318614e-11,7.836998549570477e-12,7.208814353103275e-15,9.622980645164121e-20,1.4726187152844326e-20,7.128682377945511e-26,8.32142807001739e-20,3.2785986258441464e-21,2.5589682251734177e-26
4.118261661255248e-13,0.13078664551765115,0.46346346346346345,0.0,0.0,0.0,0.07307306575574302,0.0,4.777408617225686e-12,2.375252027123773e-16,3.9205074160994713e-17,1.1956949391442633e-13,3.9102944051253197e-19,3.3219491733548605e-12,1.5993795181530414e-18,0.0,0.4634634634634633,2.4048954444570547e-11,4.976592033071758e-09,4.978538955150645e-09,4.628570777848925e-09,1.3318446853223087e-11,1.0268877567374018e-11,1.2381125438611235e-14,1.6784350328433557e-19,3.2845723264150565e-20,1.613265430643683e-25,1.7684638870493892e-19,7.179913934031061e-21,6.879780513680914e-26
5.094442227701485e-13,0.1307866457448381,0.46346346346346345,0.0,0.0,0.0,0.07307306402126479,0.0,7.309926132349906e-12,3.6347800499724777e-16,5.998617993918404e-17,1.8294884650273968e-13,7.268756641029118e-19,5.082779102660809e-12,2.447259588762966e-18,0.0,0.46346346346346323,2.9879769489210706e-11,6.155894926032081e-09,6.1588740355764875e-09,5.724711371179869e-09,1.6474052898659152e-11,1.2699375167147139e-11,1.8942510187211314e-14,2.592487936146873e-19,6.178610602177776e-20,3.063441633258045e-25,3.192433506438463e-19,1.3345865506012276e-20,1.5101826956837406e-25
7.046803360593959e-13,0.13078664619942817,0.46346346346346345,0.0,0.0,0.0,0.07307306055230846,0.0,1.3983766567579211e-11,6.954782484784048e-16,1.1474648377082463e-16,3.499601382770107e-13,1.875035014025445e-18,9.722726883534001e-12,4.681734663335268e-18,0.0,0.46346346346346295,4.169122548783354e-11,8.514117057455097e-09,8.519816491501506e-09,7.9158412594648e-09,2.278370310822051e-11,1.7556229204985773e-11,3.622961083652821e-14,5.0139283139201895e-19,1.616914385718296e-19,8.108556961852615e-25,7.782001003054692e-19,3.4423096497138044e-20,5.053772588266257e-25
8.999164493486433e-13,0.1307866466543064,0.46346346346346345,0.0,0.0,0.0,0.0730730570833522,0.0,2.2801738967926085e-11,1.1342851449748651e-15,1.8709407440659894e-16,5.706107828639888e-13,3.853065380420184e-18,1.5852851515493953e-11,7.63424844030003e-18,0.0,0.4634634634634627,5.3702437740421035e-11,1.0871827742188381e-08,1.0881121895888015e-08,1.010543698106272e-08,2.9091271673838446e-11,2.240756734967502e-11,5.906386779505097e-14,8.22573037291885e-19,3.351178491011667e-19,1.6919456535619353e-24,1.5154581191421313e-18,7.072977318184323e-20,1.2633886385888218e-24
1e-12,0.13078664710947263,0.46346346346346345,0.0,0.0,0.0,0.0730730553050672,0.0,2.8152997636832465e-11,1.4006453388973125e-15,2.309961196369664e-16,7.045065278012124e-13,5.267401013109427e-18,1.9572727339345083e-11,9.426079716092199e-18,0.0,0.4634634634634625,5.99371670895952e-11,1.2080258632928268e-08,1.2091734469029272e-08,1.1227291197822242e-08,3.2323902903560365e-11,2.489236414879198e-11,7.291789669445251e-14,1.0178315390599717e-18,4.595869484418935e-19,2.3262046147715004e-24,2.0158856897701465e-18,9.66871982973205e-20,1.8838095089876843e-24
1.0951525626378907e-12,0.13078664710947263,0.46346346346346345,0.0,0.0,0.0,0.07307305361439606,0.0,3.376267193697481e-11,1.6799158788561018e-15,2.7701630489225165e-16,8.448625342001775e-13,6.903000588942514e-18,2.347206639530415e-11,1.1304492652006397e-17,0.0,0.46346346346346234,6.591339181653443e-11,1.3229027095450901e-08,1.3242790109864664e-08,1.2293499652556237e-08,3.539675967092315e-11,2.725339663287854e-11,8.743871049977698e-14,1.2226954662793536e-18,6.038104233111035e-19,3.0622792355344936e-24,2.575943953545672e-18,1.2670359359134222e-19,2.6570771542207324e-24
1.2903886759271382e-12,0.13078664756492667,0.46346346346346345,0.0,0.0,0.0,0.07307305014544002,0.0,4.6865405084517424e-11,2.3323874942391e-15,3.8450064788033925e-16,1.1726775196183938e-12,1.1264636745345167e-17,3.257929513108871e-11,1.5692161919475643e-17,0.0,0.46346346346346196,7.832407344950163e-11,1.5585715231406145e-08,1.5604820995808903e-08,1.4480030380038525e-08,4.170016816523064e-11,3.2093724016827995e-11,1.2134763378302394e-13,1.701667984046119e-18,9.893019467634331e-19,5.0334214636686906e-24,3.9900047866701005e-18,2.0673889831790788e-19,4.9750031500698e-24
1.680860902505633e-12,0.13078664847669766,0.46346346346346345,0.0,0.0,0.0,0.07307304320752825,0.0,7.949182606891673e-11,3.9579187245622994e-15,6.521076842696814e-16,1.9888521560665608e-12,2.4841700575910988e-17,5.5253670507131446e-11,2.661860545156118e-17,0.0,0.4634634634634609,1.0374456480346163e-10,2.029755828919065e-08,2.0329970255854373e-08,1.884850024044628e-08,5.430075073201465e-11,4.175789973303566e-11,2.0574282866000184e-13,2.8958071411484467e-18,2.193098070032273e-18,1.120514520811676e-23,7.939232188834494e-18,4.558130160919321e-19,1.3830359167464544e-23
2.071333129084128e-12,0.13078664938961812,0.46346346346346345,0.0,0.0,0.0,0.07307303626961685,0.0,1.2067199428964917e-10,6.011011228343486e-15,9.89817963085337e-16,3.0188408387078987e-12,4.64454406168339e-17,8.386762305794332e-11,4.0411208076399147e-17,0.0,0.4634634634634597,1.2996380119016453e-10,2.5007357802784216e-08,2.50565686065684e-08,2.3210855147469715e-08,6.689302765496261e-11,5.14001484728104e-11,3.121990291826285e-13,4.404272381596343e-18,4.1134459980714214e-18,2.1072061212273672e-23,1.3492086074878264e-17,8.520202955188458e-19,3.0824358445617105e-23
