Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82)
6.522369704798519e-15,0.13078664457515699,0.46346346346346345,0.0,0.0,0.0,0.07307307295718356,0.0,1.4484639344766752e-15,7.197924713466154e-20,1.1888066637041957e-20,3.625723062647041e-17,2.5022983133723428e-24,1.007313002397569e-15,4.848761839397394e-22,0.0,0.46346346346346345,3.7399992704095475e-13,7.883531771776654e-11,7.883593401114238e-11,7.335885330757272e-11,2.1100530223894203e-13,1.6282604673280845e-13,3.755569478830124e-18,1.2771917581778674e-23,4.762613622324163e-26,6.050771380209554e-32,1.326322020005972e-24,6.975831636019541e-26,1.5651231189292935e-32,8.239308379803804e-17,2.6112359148059673e-17,8.870212846051973e-23,3.3076780198284592e-25
9.783560086288458e-15,0.13078664458273562,0.46346346346346345,0.0,0.0,0.0,0.0730730728992387,0.0,2.9988542600250915e-15,1.4902412125445882e-19,2.461266779904502e-20,7.506617280805083e-17,6.834538644791414e-24,2.085507216458753e-15,1.0038730500745025e-21,0.0,0.46346346346346345,5.610917118941386e-13,1.18252831895878e-10,1.1825410785209736e-10,1.1003770365964968e-10,3.165073302316921e-13,2.4423684262903256e-13,7.77537933852771e-18,3.2841048745750354e-23,1.5848116286116341e-25,2.4025618610461718e-31,3.6186937316194964e-24,1.9053095140660698e-25,5.471698665824193e-32,1.7058345145644556e-16,5.4062251342045053e-17,2.2808502525988906e-22,1.1006698984264948e-24
1.3044750467778399e-14,0.1307866445903143,0.46346346346346345,0.0,0.0,0.0,0.07307307284129384,0.0,5.100253881931732e-15,2.534512999112525e-19,4.185958527150708e-20,1.2766815572281907e-16,1.4300111057377612e-23,3.5468901244096653e-15,1.7073221922207662e-21,0.0,0.46346346346346345,7.48244526723631e-13,1.5767020500529584e-10,1.5767237507047423e-10,1.4671612817009054e-10,4.2200882332747707e-13,3.256460608666941e-13,1.3223799516597729e-17,6.52051330685163e-23,3.8037702468425134e-25,6.495558344632732e-31,7.564281522908987e-24,3.986531975711189e-25,1.3668956956638844e-31,2.9011612764390965e-16,9.194559357380809e-17,4.528592209878856e-22,2.6417701875925914e-24
1.630594084926834e-14,0.13078664459789313,0.46346346346346345,0.0,0.0,0.0,0.07307307278334899,0.0,7.792015850085518e-15,3.872167268714531e-19,6.395179591231975e-20,1.950484649399748e-16,2.603274612234247e-23,5.418827937418754e-15,2.608397521644961e-21,0.0,0.46346346346346345,9.354627309366388e-13,1.9708742697018374e-10,1.970907423355325e-10,1.8339409642654513e-10,5.275097433236329e-13,4.070535887884007e-13,2.0202844185189167e-17,1.127247185221291e-22,7.755681503539e-25,1.4643247399323358e-30,1.3757104056986246e-23,7.257304475259489e-25,2.899302019272173e-31,4.432292464601785e-16,1.4047186624323591e-16,7.828928515980225e-22,5.3864430248776745e-24
2.2828321612248222e-14,0.1307866446130509,0.46346346346346345,0.0,0.0,0.0,0.07307307266745927,0.0,1.4983677719144768e-14,7.446056234701342e-19,1.2297613982680412e-19,3.7507281421965764e-16,6.873366548853157e-23,1.0420127066909278e-14,5.015831990906753e-21,0.0,0.46346346346346345,1.3100994157290468e-12,2.759214079757304e-10,2.759277832862733e-10,2.567486355515429e-10,7.385098280471541e-13,5.698634677284028e-13,3.8848757318127984e-17,2.6277345724179757e-22,2.5321806017432306e-24,5.901276199915944e-30,3.622671801705353e-23,1.9161242468967066e-24,1.0613579853147658e-30,8.52302059051531e-16,2.701214124203742e-16,1.8250267775738635e-21,1.75865620912728e-23
2.9350702375228104e-14,0.13078664462820902,0.46346346346346345,0.0,0.0,0.0,0.07307307255156956,0.0,2.4573042175579127e-14,1.2211536755670835e-18,2.0167909684052052e-19,6.151208117124463e-16,1.4250120914315012e-22,1.7088840702840003e-14,8.225912264986756e-21,0.0,0.46346346346346345,1.6850016833256695e-12,3.5475477511076275e-10,3.547652305712152e-10,3.301013216613871e-10,9.495075851736635e-13,7.326664818900658e-13,6.371091766596073e-17,4.900866335231302e-22,6.0102602519920894e-24,1.5891308768306426e-29,7.49276363932489e-23,3.972571266180963e-24,2.7541593739717086e-30,1.397753756902238e-15,4.4299685636661546e-16,3.403807317142352e-21,4.1742948266032226e-23
4.239546390118786e-14,0.13078664465852632,0.46346346346346345,0.0,0.0,0.0,0.07307307231979014,0.0,5.094363308302595e-14,2.531680216014468e-18,4.181102944986315e-19,1.2752658246699243e-15,4.281684878808969e-22,3.542759074237528e-14,1.7053610048741044e-20,0.0,0.46346346346346345,2.4356028610544424e-12,5.124196680527215e-10,5.1244134394492e-10,4.768011358592928e-10,1.3714961178274298e-12,1.0582519203778365e-12,1.320799823709006e-16,1.1971653820961214e-21,2.1886738048932962e-23,6.959584858549783e-29,2.2387533431812093e-22,1.1936189499555936e-23,1.218677164204167e-29,2.897706569224925e-15,9.184051876898758e-16,8.314885158073608e-21,1.5201267214413292e-22
6.848498695310738e-14,0.1307866447191648,0.46346346346346345,0.0,0.0,0.0,0.07307307185623131,0.0,1.3245052871679589e-13,6.582464459808975e-18,1.0870574632022593e-18,3.3157679972095807e-15,1.840771922402794e-21,9.210882632880839e-14,4.433868228210907e-20,0.0,0.46346346346346345,3.939991800857187e-12,8.277420888400822e-10,8.277984456929671e-10,7.701785338994971e-10,2.2154452583086596e-12,1.7093404489678473e-12,3.433877560920321e-16,3.655937736291558e-21,1.1481725457451257e-22,4.38818498435863e-28,9.506860693622642e-22,5.1315292407495184e-23,8.95233218057262e-29,7.533605989963469e-15,2.387835222561209e-15,2.5393507356711476e-20,7.9749125433156735e-22
1.2066403305694643e-13,0.1307866448404574,0.46346346346346345,0.0,0.0,0.0,0.07307307092911365,0.0,4.1051402561478653e-13,2.0403076827173215e-17,3.3691657687338452e-18,1.0277772566707883e-14,1.036486640864458e-20,2.854742694166682e-13,1.3742400635648546e-19,0.0,0.46346346346346345,6.961516228645661e-12,1.4583574715514813e-09,1.4585321476035155e-09,1.3568444218827029e-09,3.9032318518207824e-12,3.0111881986749225e-12,1.0642089291046472e-15,1.2812055701372436e-20,7.545243214163157e-22,3.2979456715597126e-27,5.218432743616912e-21,2.889366669132627e-22,9.382973909984497e-28,2.334778157132926e-14,7.401033353056627e-15,8.8999661712533e-20,5.241237416178637e-21
2.2502212526462451e-13,0.13078664508310558,0.46346346346346345,0.0,0.0,0.0,0.07307306907487839,0.0,1.4267421477617576e-12,7.092178328865292e-17,1.1709299300448913e-17,3.57271706196069e-14,6.88165115963133e-20,9.921265772031802e-13,4.776296440889498e-19,0.0,0.4634634634634634,1.3055553749070884e-11,2.7194704118343444e-09,2.7200775336302036e-09,2.529820666177325e-09,7.27835837663979e-12,5.613567133837969e-12,3.698111225871404e-15,4.8112203244815445e-20,5.522684450771223e-21,2.6160681207844086e-26,3.295998067426632e-20,1.918300237969549e-21,1.1938403418433666e-26,8.113330275104375e-14,2.5723993386294643e-14,3.342855233928917e-19,3.8370311892126603e-20
