Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36)
6.20911097303826e-15,0.13078664457442898,0.46346346346346345,0.0,0.0,0.0,0.07307307296274955,0.0,1.3126710860117744e-15,6.523118435080131e-20,1.0773565878334843e-20,3.285810707128798e-17,2.1587946474344078e-24,9.128779426856704e-16,4.394192410541873e-22,0.0,0.46346346346346345,3.5600669703940717e-13,7.504902680433773e-11,7.50495616560783e-11,6.98355989440376e-11,2.0087112753669414e-13,1.5500634133191734e-13,3.4034950111820835e-18,1.1133683876438646e-23,3.9489426416200164e-26,4.828116259449142e-32,1.1444617480310684e-24,3.9650143846566993e-26,8.469262309152411e-33,7.466880427578838e-17
9.313671723094903e-15,0.13078664458164366,0.46346346346346345,0.0,0.0,0.0,0.07307307290758769,0.0,2.7177134359070677e-15,1.3505308696505816e-19,2.2305245174819752e-20,6.802869675444062e-17,5.896326371876112e-24,1.889992374146142e-15,9.097604961390095e-22,0.0,0.46346346346346345,5.340799884898778e-13,1.1257342542958913e-10,1.1257453277154072e-10,1.0475287898525162e-10,3.0130613477352127e-13,2.325077125452684e-13,7.046465168531173e-18,2.869689804825872e-23,1.3166516871461565e-25,1.9245012813254892e-31,3.1226734111378955e-24,1.0829640679553748e-25,2.9609094019297814e-32,1.5459144976440136e-16
1.2418232473151547e-14,0.13078664458885833,0.46346346346346345,0.0,0.0,0.0,0.07307307285242583,0.0,4.622108768768518e-15,2.296901924653539e-19,3.793528048523587e-20,1.156992193542664e-16,1.2337062811541264e-23,3.2143722284301867e-15,1.5472618759915345e-21,0.0,0.46346346346346345,7.121997280555336e-13,1.5009770507145004e-10,1.5009958836848182e-10,1.396697731067471e-10,4.017406572586603e-13,3.1000779598100845e-13,1.1984125923899091e-17,5.709232060574752e-23,3.165111892663735e-25,5.218357916335873e-31,6.527731906577261e-24,2.2659145387101178e-25,7.39678791641835e-32,2.6291815261784046e-16
1.552279322320819e-14,0.1307866445960731,0.46346346346346345,0.0,0.0,0.0,0.07307307279726397,0.0,7.06152107846325e-15,3.509150710475383e-19,5.795637206744849e-20,1.7676258620992366e-16,2.2459102859047272e-23,4.910818376463277e-15,2.3638623280205387e-21,0.0,0.46346346346346345,8.90369233595336e-13,1.8762185723147972e-10,1.8762473448084348e-10,1.7458625374706545e-10,5.021746603704718e-13,3.875064996778665e-13,1.8308932054104937e-17,9.888964146499481e-23,6.463212047192169e-25,1.1797434678056867e-30,1.1872491236487299e-23,4.1249945181554116e-25,1.568939362660228e-31,4.0167725452190784e-16
2.1731914723321475e-14,0.13078664461050282,0.46346346346346345,0.0,0.0,0.0,0.07307307268694026,0.0,1.3578975660562113e-14,6.747986142753173e-19,1.114472772116713e-19,3.3990951308861416e-16,5.929827744953471e-23,9.443254829411932e-15,4.545603217758114e-21,0.0,0.46346346346346345,1.246860669531339e-12,2.6266977110090465e-10,2.626753039344345e-10,2.444179486403903e-10,7.030410758736906e-13,5.424996813425688e-13,3.5206960328962555e-17,2.3146434824110326e-22,2.1183875797905236e-24,4.793644064212849e-30,3.1267903206720854e-23,1.0891082061316042e-24,5.743684796722247e-31,7.724007209839977e-16
3.4150157723548045e-14,0.13078664463936318,0.46346346346346345,0.0,0.0,0.0,0.07307307246629283,0.0,3.312815887237851e-14,1.6463107618275244e-18,2.7189343376322536e-19,8.29282881562719e-16,2.2929354499384988e-22,2.3038279037668682e-14,1.108978416029434e-20,0.0,0.46346346346346345,1.960449517106716e-12,4.1276404660380473e-10,4.12777544957449e-10,3.840763040230243e-10,1.1047675830492307e-12,8.52469246019163e-13,8.589190012264029e-17,7.118377781432569e-22,1.0737789593452292e-23,3.1659061781710184e-29,1.2021399324177852e-22,4.211302914552809e-24,3.6357234840458065e-30,1.8843684038692876e-15
4.656840072377462e-14,0.13078664466822473,0.46346346346346345,0.0,0.0,0.0,0.0730730722456454,0.0,6.137029460633588e-14,3.0498570504916724e-18,5.036846033183611e-19,1.5362856517478375e-15,5.690423587437259e-22,4.267849861373017e-14,2.054400815917786e-20,0.0,0.46346346346346345,2.674847034129956e-12,5.628562506988993e-10,5.628812567080781e-10,5.237279413180342e-10,1.506485651383529e-12,1.1624163944338275e-12,1.5911357502128148e-16,1.4955062145172973e-21,3.041631967050304e-23,1.008793375091097e-28,2.9697086650917365e-22,1.0451195126092495e-23,1.1829379083720168e-29,3.490761230445544e-15
7.140488672422776e-14,0.1307866447259513,0.46346346346346345,0.0,0.0,0.0,0.07307307180435053,0.0,1.4392395952271747e-13,7.152683378998912e-18,1.1812219397163092e-18,3.603005864117299e-15,2.0667057379004362e-21,1.0008756154597246e-13,4.8179536449249874e-20,0.0,0.46346346346346345,4.1060673991200444e-12,8.630344466852386e-10,8.630930908855012e-10,8.030110693865122e-10,2.309896480528597e-12,1.7822434717367566e-12,3.7313830534494614e-16,4.01704742719199e-21,1.3013014180997381e-22,5.0101389170424745e-28,1.0667535012551684e-21,3.7957052635332053e-23,6.749259728564551e-29,8.186170768075254e-15
1.2107785872513404e-13,0.13078664484141847,0.46346346346346345,0.0,0.0,0.0,0.07307307092176082,0.0,4.132967709022587e-13,2.0541325607192302e-17,3.3920020958521196e-18,1.034741097063871e-14,1.032698895503471e-20,2.874093183647958e-13,1.3835563537411594e-19,0.0,0.46346346346346345,6.978209636633148e-12,1.4633659912052419e-09,1.463534400508381e-09,1.3614967515367418e-09,3.916616919257089e-12,3.0216288107087958e-12,1.071454552103923e-15,1.2905029428787754e-20,7.498488500573078e-22,3.269150712569193e-27,5.205824498363918e-21,1.8965831397816435e-22,6.017664888248872e-28,2.3506067548405237e-14
2.204238027269466e-13,0.13078664507240884,0.46346346346346345,0.0,0.0,0.0,0.07307306915658142,0.0,1.3690133290104139e-12,6.805134455791807e-17,1.1235514216169583e-17,3.428110530334818e-14,6.400946983868196e-20,9.519842384429265e-13,4.583037586270744e-19,0.0,0.4634634634634634,1.2761302253572209e-11,2.6639296998432896e-09,2.6644875743541926e-09,2.478145912469465e-09,7.129652997061513e-12,5.499324713575187e-12,3.5486972304899745e-15,4.6080601771876305e-20,5.1187482401297644e-21,2.4175198252756435e-26,3.0774636379896145e-20,1.1754681443191088e-21,7.045073361204787e-27,7.785109700758733e-14
