Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23)
6.315257311123111e-15,0.13078664457467568,0.46346346346346345,0.0,0.0,0.0,0.07307307296086352,0.0,1.3579353280067715e-15,6.74805388913279e-20,1.1145066226116314e-20,3.399114811488176e-17,2.271413182059834e-24,9.443563007618506e-16,4.545715248823402e-22,0.0,0.46346346346346345,3.621189397169778e-13,7.633197955488776e-11,7.633255733001402e-11,7.102943870691956e-11,2.0430504861479144e-13,1.5765576934336702e-13,3.520848931363722e-18,1.1673211140046654e-23,4.212309704857746e-26,5.218895774981217e-32,1.2040900442834192e-24,6.332184364021671e-26,1.3756490704003902e-32,7.724356536258118e-17,2.4480423247729608e-17
9.472891320203698e-15,0.13078664458201367,0.46346346346346345,0.0,0.0,0.0,0.07307307290475866,0.0,2.8114269324361087e-15,1.3971009919896168e-19,2.3074386308556973e-20,7.037452171925632e-17,6.2039216233739995e-24,1.9551640014667595e-15,9.411312642359493e-22,0.0,0.46346346346346345,5.432645018060696e-13,1.1449783574880063e-10,1.1449903195799228e-10,1.0654361968905779e-10,3.0645699424005374e-13,2.364815700024232e-13,7.289424986967663e-18,3.006307381156919e-23,1.4035177475952263e-25,2.0775309916088957e-31,3.285312199281402e-24,1.7295106797904564e-25,4.809339936170368e-32,1.5992212039838243e-16,5.0683583901941285e-17
1.2630525329284284e-14,0.13078664458935166,0.46346346346346345,0.0,0.0,0.0,0.0730730728486538,0.0,4.781490239839297e-15,2.3761056336275406e-19,3.924338262232753e-20,1.1968886400200343e-16,1.2980653140318024e-23,3.325211554743034e-15,1.6006151406213069e-21,0.0,0.46346346346346345,7.244672794853229e-13,1.5266355969076205e-10,1.5266559412736062e-10,1.420574014441589e-10,4.0860843839897445e-13,3.1530589160324497e-13,1.2397326239172182e-17,5.976906606284175e-23,3.372124167906873e-25,5.627672002759304e-31,6.86761041740669e-24,3.618704256115293e-25,1.2014400372505496e-31,2.719841514139808e-16,8.619943859823416e-17
1.5788159338364873e-14,0.13078664459668982,0.46346346346346345,0.0,0.0,0.0,0.07307307279254895,0.0,7.305018910925919e-15,3.630156262577762e-19,5.995484766818983e-20,1.8285787764820339e-16,2.363073088690251e-23,5.080154947122777e-15,2.4453737422622658e-21,0.0,0.46346346346346345,9.057313596944257e-13,1.9082914193465708e-10,1.9083225009057038e-10,1.7757075546046256e-10,5.107593452763979e-13,3.9412862852832136e-13,1.8940192007862874e-17,1.0345798724852811e-22,6.882396595836932e-25,1.2710473918039552e-30,1.2490457614305633e-23,6.587692300407978e-25,2.5483768264245453e-31,4.1552793146433794e-16,1.3169314563784115e-16
2.2103427356526046e-14,0.13078664461136627,0.46346346346346345,0.0,0.0,0.0,0.07307307268033922,0.0,1.404720855863775e-14,6.98067626246751e-19,1.1529023401853988e-19,3.5163060957988344e-16,6.239169377158338e-23,9.768879041490875e-15,4.7023453052580416e-21,0.0,0.46346346346346345,1.2684472791286064e-12,2.671598724306682e-10,2.671658492866754e-10,2.4859615343881337e-10,7.150595134640712e-13,5.517692490110712e-13,3.6420776218720504e-17,2.418188581997113e-22,2.2527887204135744e-24,5.150115773289871e-30,3.289399587884501e-23,1.739329735770761e-24,9.329177198667773e-31,7.990345345652046e-16,2.5324063614370374e-16
3.4733963392848396e-14,0.13078664464072012,0.46346346346346345,0.0,0.0,0.0,0.07307307245591976,0.0,3.427047962882451e-14,1.7030804642021663e-18,2.8126886549548486e-19,8.578791476915094e-16,2.4125504672997475e-22,2.3832682095279675e-14,1.1472179486307471e-20,0.0,0.46346346346346345,1.994625564954489e-12,4.1981960809046976e-10,4.198341897101991e-10,3.906417414005508e-10,1.1236533079782304e-12,8.670311963825221e-13,8.885285329803247e-17,7.420643987910642e-22,1.1393820116121437e-23,3.385502736857759e-29,1.2645342431214477e-22,6.725575729658337e-24,5.905165322611394e-30,1.949343941060841e-15,6.178269669855515e-16
4.736449942917074e-14,0.13078664467007517,0.46346346346346345,0.0,0.0,0.0,0.07307307223150031,0.0,6.348643832861927e-14,3.1550254438293796e-18,5.210525319171161e-19,1.5892617752154618e-15,5.98727323634731e-22,4.415012045884153e-14,2.125239487434972e-20,0.0,0.46346346346346345,2.721799974973913e-12,5.724770413532079e-10,5.725040541248216e-10,5.326803796326666e-10,1.5322383727145077e-12,1.1822673983933286e-12,1.645981784411521e-16,1.5568364566498089e-21,3.2234484553842003e-23,1.0761745198125512e-28,3.123601738555158e-22,1.6690931300947497e-23,1.9213004659486282e-29,3.611125647467091e-15,1.1445392473776798e-15
7.262557150181544e-14,0.13078664472878895,0.46346346346346345,0.0,0.0,0.0,0.0730730717826614,0.0,1.4888658834419235e-13,7.399330937190817e-18,1.2219518932258492e-18,3.7272501919206995e-15,2.174517440446923e-21,1.0353867329087972e-13,4.984080040927587e-20,0.0,0.46346346346346345,4.179136311018072e-12,8.777850029474215e-10,8.77848353350668e-10,8.167368149457763e-10,2.3493823222693148e-12,1.8126626012243329e-12,3.859976368434914e-16,4.1741685674011935e-21,1.3764452686567737e-22,5.324267054222482e-28,1.1218262125715948e-21,6.061929537842167e-23,1.0961441746441975e-28,8.468428331788537e-15,2.684181641339483e-15
1.2314771564710482e-13,0.13078664484623137,0.46346346346346345,0.0,0.0,0.0,0.07307307088498359,0.0,4.2754705290745195e-13,2.124966369444609e-17,3.508958504845273e-18,1.070423196756641e-14,1.0865693624904575e-20,2.973190677576595e-13,1.4312602284233938e-19,0.0,0.46346346346346345,7.105759130691381e-12,1.4883733080231659e-09,1.4885552318004967e-09,1.3847663336742039e-09,3.983565513283089e-12,3.0731442821643482e-12,1.1083638128901637e-15,1.3386731313996732e-20,7.9160062897441955e-22,3.460926970875678e-27,5.4724467875297245e-21,3.028993218636967e-22,9.772162383676968e-28,2.4316500756383183e-14,7.70821855313692e-15
2.2419200393768362e-13,0.13078664508117513,0.46346346346346345,0.0,0.0,0.0,0.073073069089628,0.0,1.4162124371993106e-12,7.039804500887603e-17,1.1622888849721172e-17,3.5463297422297085e-14,6.734834416624044e-20,9.848055996807709e-13,4.741042590631635e-19,0.0,0.4634634634634634,1.300680680756479e-11,2.7094394569714364e-09,2.7100420970362372e-09,2.5204920608469415e-09,7.2515131497242826e-12,5.592873371974716e-12,3.670834218801455e-15,4.7740722198334895e-20,5.395782133837626e-21,2.5522890886737707e-26,3.2326354430065367e-20,1.8773860104110942e-21,1.143798161247885e-26,8.053486872313804e-14,2.5534463036462774e-14
3.252362922282624e-13,0.13078664531619746,0.46346346346346345,0.0,0.0,0.0,0.07307306729427245,0.0,2.9798881159174025e-12,1.4814493248746638e-16,2.4455597106983024e-17,7.463081165310379e-14,1.9800768691091384e-19,2.0720860151125656e-12,9.975957657247971e-19,0.0,0.46346346346346334,1.8971593471432796e-11,3.9303583365132514e-09,3.931626426499037e-09,3.6557734935514757e-09,1.0518902562422165e-11,8.110957553820151e-12,7.722956045383174e-15,1.0332082714434164e-19,1.637761586131648e-20,7.946407891676311e-26,9.193012723102356e-20,5.519488921929812e-21,4.4528677494616844e-26,1.69434925717497e-13,5.373068319873967e-14
4.2628058051884116e-13,0.13078664555129854,0.46346346346346345,0.0,0.0,0.0,0.07307306549891691,0.0,5.118412082235696e-12,2.544924736920494e-16,4.200552668833565e-17,1.2820906403937113e-13,4.3364286034121444e-19,3.559010368343861e-12,1.7135578527937079e-18,0.0,0.4634634634634633,2.5000123178184347e-11,5.151129963802431e-09,5.153308201175912e-09,4.790610798724068e-09,1.378573389671205e-11,1.0627397929910664e-11,1.3263797850280982e-14,1.801128190107808e-19,3.650677619490286e-20,1.796348776733388e-25,1.952089413082895e-19,1.208759163619521e-20,1.1968377112477412e-25,2.90996237804967e-13,9.229558786921035e-14
5.2732486880942e-13,0.13078664578647806,0.46346346346346345,0.0,0.0,0.0,0.07307306370356141,0.0,7.831617605977052e-12,3.8944292241082395e-16,6.427107469531019e-17,1.9620043705981515e-13,8.060809631953562e-19,5.445424187286849e-12,2.621946633063611e-18,0.0,0.4634634634634631,3.109240019352894e-11,6.371754356393657e-09,6.375087401531297e-09,5.925004148341331e-09,1.7052007302151543e-11,1.3142195637001615e-11,2.029239915036713e-14,2.781026074909796e-19,6.864469295817676e-20,3.4086102722116024e-25,3.5211723916242227e-19,2.2468657352850275e-20,2.626506492134373e-25,4.4519773013560335e-13,1.4122785490474853e-13
7.294134453905775e-13,0.1307866462570729,0.46346346346346345,0.0,0.0,0.0,0.07307306011285046,0.0,1.498145645920863e-11,7.451609477537964e-16,1.229430943720611e-16,3.7543139560606313e-13,2.079311399075032e-18,1.0416148491427765e-11,5.01584196445037e-18,0.0,0.46346346346346284,4.3468212061823894e-11,8.812561502299026e-09,8.818938007030193e-09,8.19245961743055e-09,2.3582880879941264e-11,1.816686725227274e-11,3.880932505330829e-14,5.376248224410626e-19,1.7954680008038846e-19,9.014001743309315e-25,8.57105406380328e-19,5.795619954554365e-20,8.784985519392949e-25,8.51443225827937e-13,2.7018959338062806e-13
9.315020219717352e-13,0.13078664672798185,0.46346346346346345,0.0,0.0,0.0,0.07307305652213963,0.0,2.4428070636764518e-11,1.2153171861921733e-15,2.0045882864690438e-16,6.123428207140899e-13,4.272758910559562e-18,1.698302252666716e-11,8.178930739131012e-18,0.0,0.4634634634634625,5.60990634729059e-11,1.1252779914430066e-08,1.1263178086727555e-08,1.0458141277332388e-08,3.011152449292355e-11,2.3184981498193135e-11,6.326604707563618e-14,8.817780898315402e-19,3.720027075784771e-19,1.8798282731288016e-24,1.6669443759055407e-18,1.190888912751508e-19,2.195136539358292e-24,1.3880026817734055e-12,4.406053375745351e-13
1e-12,0.13078664719920471,0.46346346346346345,0.0,0.0,0.0,0.07307305530506723,0.0,2.815093627140181e-11,1.4006483377262555e-15,2.310064134258674e-16,7.057363533245281e-13,5.2725169068150564e-18,1.9570832521797165e-11,9.425539651298616e-18,0.0,0.4634634634634624,6.043817366023093e-11,1.207975904064572e-08,1.2091742276831282e-08,1.1225692438090015e-08,3.232390422423677e-11,2.4884386389759922e-11,7.29020811594942e-14,1.0176128895892326e-18,4.6000557850732045e-19,2.3283852152724522e-24,2.0191752293357198e-18,1.4695176378514434e-19,2.8715590626841292e-24,1.5994089433014118e-12,5.077725271720305e-13
1.1335905985528927e-12,0.13078664719920471,0.46346346346346345,0.0,0.0,0.0,0.0730730529314289,0.0,3.617005685458163e-11,1.7999307818011106e-15,2.9680478438936233e-16,9.069548320767225e-13,7.654762680943567e-18,2.514474571211581e-11,1.2110843709855802e-17,0.0,0.4634634634634621,6.898499061549628e-11,1.3692409740290905e-08,1.3707807476188877e-08,1.2722050576015739e-08,3.663793940095395e-11,2.819654794160959e-11,9.365448354357684e-14,1.3104469940389677e-18,6.701129479246634e-19,3.401015121473567e-24,2.830014633278075e-18,2.133423404828413e-19,4.614590358614416e-24,2.0546986313650612e-12,6.524639768730014e-13
1.3356791751340503e-12,0.1307866476707413,0.46346346346346345,0.0,0.0,0.0,0.07307304934071829,0.0,5.020602511533751e-11,2.499020721145186e-15,4.1196759659792e-16,1.2592873425205671e-12,1.2491155105068667e-17,3.490002979950506e-11,1.6811215110560713e-17,0.0,0.4634634634634617,8.212602933144862e-11,1.6131451126037423e-08,1.6152826012459954e-08,1.498418894772249e-08,4.3162126852727364e-11,3.3201576053221464e-11,1.2996663480112822e-13,1.823518006663635e-18,1.0977379717199876e-18,5.588586419281861e-24,4.37864100325351e-18,3.4812080484048397e-19,8.636207385335192e-24,2.8513553244161775e-12,9.05754503107669e-13
1.7398563282963653e-12,0.1307866486147551,0.46346346346346345,0.0,0.0,0.0,0.07307304215929737,0.0,8.515458311647755e-11,4.240702428628998e-15,6.986925982188218e-16,2.137189914539734e-12,2.7545361881644198e-17,5.918634629524007e-11,2.8515931846984787e-17,0.0,0.4634634634634606,1.0917357853642083e-10,2.1007769137643533e-08,2.1044029900584576e-08,1.950315840381147e-08,5.620382417635914e-11,4.319205351518022e-11,2.2033148094330835e-13,3.102429142756824e-18,2.432824212696548e-18,1.2435884153399553e-23,8.696126384621298e-18,7.676039403299197e-19,2.398315120702485e-23,4.8338780595208526e-12,1.5365890121678618e-12
2.1440334814586804e-12,0.13078664956002173,0.46346346346346345,0.0,0.0,0.0,0.07307303497787687,0.0,1.292629568912977e-10,6.4405097769866675e-15,1.0605301208658952e-15,3.2462044833782998e-12,5.1498212306373764e-17,8.98319752798289e-11,4.329024167236876e-17,0.0,0.4634634634634592,1.372419885743958e-10,2.58817350850466e-08,2.5936788484900317e-08,2.4015060775282798e-08,6.923662616808544e-11,5.315648727552832e-11,3.3429860618329584e-13,4.717628671302799e-18,4.562167364587265e-18,2.3379756405513435e-23,1.4756239385237203e-17,1.4349698559278138e-18,5.340138108689839e-23,7.334207807479858e-12,2.333023339166314e-12
2.5482106346209955e-12,0.13078665050653981,0.46346346346346345,0.0,0.0,0.0,0.07307302779645677,0.0,1.8252039468865838e-10,9.098589833138731e-15,1.4973768077714676e-15,4.586484000369343e-12,8.640544815574374e-17,1.268269543855242e-10,6.11313143544927e-17,0.0,0.4634634634634577,1.6633153549532947e-10,3.075335010137658e-08,3.0831100502279624e-08,2.8519907153594744e-08,8.226054250980943e-11,6.309495039701715e-11,4.718063183820269e-13,6.668237529710854e-18,7.669848518561382e-18,3.9373964503719566e-23,2.2638211199155423e-17,2.407434049407625e-18,1.0287946689485534e-22,1.0350986729772291e-11,3.294972174911722e-12
2.9523877877833106e-12,0.13078665145430793,0.46346346346346345,0.0,0.0,0.0,0.07307302061503707,0.0,2.449161587136081e-10,1.221508957849371e-14,2.009129446473265e-15,6.158180694118688e-12,1.3431995229350335e-16,1.7016133520602545e-10,8.203632289082358e-17,0.0,0.4634634634634559,1.9644249447221942e-10,3.562261531945492e-08,3.5726964690025744e-08,3.3017708614699835e-08,9.527558288143513e-11,7.300751575976068e-11,6.327930897736077e-13,8.953379074520967e-18,1.193949327971921e-17,6.13699097814477e-23,3.238241791974608e-17,3.742112983222458e-18,1.7915527289671924e-22,1.3882859471353783e-11,4.4223502495732e-12
