Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90)
7.635937473287293e-10,0.13078972576532202,0.46346346346346345,0.0,0.0,0.0,0.07305949888276023,0.0,9.773590626212822e-06,9.356372772862053e-10,6.89576991680095e-11,2.0192567455186045e-07,1.32646845168024e-09,5.490742540154766e-06,3.644852381238636e-12,0.0,0.46346346905545355,1.519872504165596e-06,6.221617682646426e-06,1.0943103333805027e-05,2.9346684198803107e-06,1.6540087544557474e-08,5.989950590024172e-09,1.7134683382428688e-08,2.441300762735737e-13,9.905453108627537e-11,5.131822427542467e-16
7.85516142169997e-10,0.13078983742146477,0.46346346346346345,0.0,0.0,0.0,0.07305910876136877,0.0,1.0228697079506898e-05,9.925869487988507e-10,7.201188447800554e-11,2.1032747167469646e-07,1.4251811383048147e-09,5.715358346234989e-06,3.822554856353746e-12,0.0,0.46346346957557416,1.60668477972408e-06,6.333679745353692e-06,1.1282529994665242e-05,2.950108815340738e-06,1.6945535437030255e-08,6.112410601944987e-09,1.790369436719945e-08,2.550872751097218e-13,1.0644974603289307e-10,5.514958099719169e-16
8.074385370112648e-10,0.13078994989990275,0.46346346346346345,0.0,0.0,0.0,0.07305871860476602,0.0,1.0690022568506845e-05,1.0513018538720495e-09,7.510536407992351e-11,2.1878380745337578e-07,1.527877701088913e-09,5.941116582810621e-06,4.003130582822481e-12,0.0,0.4634634701272991,1.6958974233321818e-06,6.443044702591976e-06,1.1622256333249814e-05,2.9643934003003136e-06,1.7353969764881383e-08,6.23796094118083e-09,1.8688288573914275e-08,2.6626653538426536e-13,1.1417196644125374e-10,5.915035608139587e-16
8.293609318525325e-10,0.13079006318101755,0.46346346346346345,0.0,0.0,0.0,0.07305832841197676,0.0,1.1157419503029318e-05,1.111785361440853e-09,7.823795981263837e-11,2.2729186550079635e-07,1.634579219008747e-09,6.167933044980432e-06,4.1865197001561364e-12,0.0,0.46346347071158445,1.7875084140163078e-06,6.549777434316117e-06,1.1962215591126511e-05,2.977609814992822e-06,1.7765760230631145e-08,6.366685960382796e-09,1.9488861466727e-08,2.776734922234558e-13,1.2222778166923283e-10,6.332396340417298e-16
8.512833266938003e-10,0.130790177246204,0.46346346346346345,0.0,0.0,0.0,0.07305793818202728,0.0,1.1630747805123846e-05,1.1740405465544199e-09,8.140956718745952e-11,2.3584906569092767e-07,1.7453054012437848e-09,6.395729954148854e-06,4.372664647285334e-12,0.0,0.4634634713293862,1.881515489827512e-06,6.653941259759044e-06,1.2302343034164337e-05,2.989839075758848e-06,1.818126181263038e-08,6.498659524852242e-09,2.0305818480939016e-08,2.8931392284740236e-13,1.3062394885159404e-10,6.767390376508475e-16
8.73205721535068e-10,0.1307902920778036,0.46346346346346345,0.0,0.0,0.0,0.0730575479139454,0.0,1.2109874400645494e-05,1.2380701998689e-09,8.462014951408968e-11,2.44453046783341e-07,1.8600746955282585e-09,6.624435471688886e-06,4.5615100344044264e-12,0.0,0.4634634719816607,1.9779161452610163e-06,6.755597974977447e-06,1.2642575900896814e-05,3.0011560763023138e-06,1.860081528336479e-08,6.633946248391562e-09,2.113957375282823e-08,3.0119372847322676e-13,1.3936739680625654e-10,7.220376691103214e-16
8.951281163763358e-10,0.13079040765903932,0.46346346346346345,0.0,0.0,0.0,0.07305715760676039,0.0,1.2594672748046932e-05,1.3038768368828685e-09,8.786973247258323e-11,2.5310165033975054e-07,1.978904388287399e-09,6.853983249437352e-06,4.75300252349849e-12,0.0,0.4634634726693642,2.0767076295852485e-06,6.854807889494352e-06,1.2982853352148e-05,3.0116300510171884e-06,1.9024747708102946e-08,6.772602577131026e-09,2.1990548998587708e-08,3.1331891834267247e-13,1.484652294332596e-10,7.691723329732683e-16
9.170505112176035e-10,0.1307905239739572,0.46346346346346345,0.0,0.0,0.0,0.0730567672595033,0.0,1.3085022401751255e-05,1.3714627069207344e-09,9.11583990987081e-11,2.617929058407221e-07,2.1018106971473515e-09,7.084312014378497e-06,4.9470907169536754e-12,0.0,0.4634634733934523,2.177886945997468e-06,6.951629862058886e-06,1.3323116421892667e-05,3.021325003101386e-06,1.9453372924628304e-08,6.914677738783924e-09,2.2859172525365295e-08,3.256955956318103e-13,1.5792472866151047e-10,8.181807561446002e-16
9.389729060588711e-10,0.13079064100737092,0.46346346346346345,0.0,0.0,0.0,0.07305637687120682,0.0,1.3580808607490533e-05,1.44082980186992e-09,9.448628515059117e-11,2.7052501691152847e-07,2.2288088564021963e-09,7.315365184896335e-06,5.143725053656551e-12,0.0,0.46346347415488076,2.2814508515242823e-06,7.046121335544516e-06,1.3663307969320757e-05,3.0303001001499167e-06,1.9886992004809948e-08,7.060214574379399e-09,2.3745878357787432e-08,3.383299450061217e-13,1.677533569971939e-10,8.69101601084861e-16
9.608953009001388e-10,0.13079075874481136,0.46346346346346345,0.0,0.0,0.0,0.07305598644090532,0.0,1.4081921927089664e-05,1.511979864677861e-09,9.785357482570735e-11,2.792963485694303e-07,2.3599131960000943e-09,7.547090516072785e-06,5.342857712009067e-12,0.0,0.46346347495460427,2.387395857589007e-06,7.138338371007875e-06,1.4003372632075086e-05,3.0386100398208263e-06,2.032589369877658e-08,7.209250268165556e-09,2.465110546467643e-08,3.5122822160310975e-13,1.7795875972348922e-10,9.219744772074492e-16
