Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25)
6.623497746377161e-15,0.130786644575392,0.46346346346346345,0.0,0.0,0.0,0.07307307295538669,0.0,1.4937282232786217e-15,7.422860145621109e-20,1.2259566706542222e-20,3.739033662081949e-17,2.6205153643046316e-24,1.0387955380562862e-15,5.0006044815864085e-22,0.0,0.46346346346346345,3.7980124738544306e-13,8.00576377546433e-11,8.005827331133895e-11,7.449625007321583e-11,2.1427687523213375e-13,1.6535056681659035e-13,3.8729296597811485e-18,1.3330751511111393e-23,5.0494574074314595e-26,6.492052898208957e-32,1.38889579398795e-24,1.1254936950313352e-25,2.565354830144722e-32,8.496784118642583e-17,2.692836759827621e-17,9.258330173027912e-23,3.5068943706336326e-25,4.212216585271624e-21
9.93525223438387e-15,0.13078664458308817,0.46346346346346345,0.0,0.0,0.0,0.07307307289654341,0.0,3.0925678843985043e-15,1.5368113282902352e-19,2.5381808173730262e-20,7.741217452498357e-17,7.157425083154118e-24,2.1506874792789664e-15,1.035330845609954e-21,0.0,0.46346346346346345,5.697965568892724e-13,1.2008630637530055e-10,1.2008762221371685e-10,1.1174377981974246e-10,3.214146674326108e-13,2.4802355097466344e-13,8.018356264807316e-18,3.425196228937989e-23,1.6792036085551016e-25,2.574607580481512e-31,3.789356365577137e-24,3.070096750820815e-25,8.959004401180206e-32,1.7591411198902554e-16,5.575168947543015e-17,2.378840590286785e-22,1.1662265321444496e-24,8.678806344136182e-21
1.324700672239058e-14,0.13078664459078435,0.46346346346346345,0.0,0.0,0.0,0.07307307283770013,0.0,5.2596356204957734e-15,2.6137166933102344e-19,4.3167685822041356e-20,1.3165816899682894e-16,1.4975695474499748e-23,3.657744115344955e-15,1.7608569543993756e-21,0.0,0.46346346346346345,7.598548035928923e-13,1.6011482951729786e-10,1.601170674115304e-10,1.4899087041732228e-10,4.2855190802082725e-13,3.306949081741335e-13,1.3637035639522933e-17,6.796271009987671e-23,4.0283094330472673e-25,6.954195750790145e-31,7.920909399639377e-24,6.416322850964648e-25,2.236109449220432e-31,2.991821053047124e-16,9.481887884527324e-17,4.720111673819213e-22,2.797716605469214e-24,1.4692722183937934e-20
1.6558761210397288e-14,0.13078664459848063,0.46346346346346345,0.0,0.0,0.0,0.07307307277885686,0.0,8.035514169509511e-15,3.9931727926547027e-19,6.59502686268942e-20,2.0114442524045414e-16,2.7262617805140354e-23,5.588186877742448e-15,2.69023825269778e-21,0.0,0.46346346346346345,9.49980483139591e-13,2.0014319678982504e-10,2.001466157824424e-10,1.8623749050331485e-10,5.356885576003708e-13,4.133645222377123e-13,2.083416934469736e-17,1.174201273849369e-22,8.209573513097752e-25,1.5663017459187256e-30,1.4405489595428276e-23,1.1667133554671433e-24,4.738785040562754e-31,4.570798849268598e-16,1.4486158656001771e-16,8.155036334421517e-22,5.701680290703529e-24,2.2342039670211588e-20
2.3182270186410707e-14,0.13078664461387352,0.46346346346346345,0.0,0.0,0.0,0.0730730726611703,0.0,1.545191190294188e-14,7.678746275983811e-19,1.2681908902010992e-19,3.8679566100932276e-16,7.198085957576323e-23,1.0745794140831499e-14,5.173435805284949e-21,0.0,0.46346346346346345,1.3304383773758433e-12,2.8019945393919595e-10,2.8020602852034703e-10,2.6072928962057776e-10,7.499600466399583e-13,5.786984116942133e-13,4.006274546164191e-17,2.733669310354198e-22,2.677092976899025e-24,6.295878437753187e-30,3.793260766189764e-23,3.0708435252284244e-24,1.7297969633632277e-30,8.7893577104780875e-16,2.785626441163576e-16,1.898602215654667e-21,1.859302066704811e-23,4.250136307964085e-20
2.980577916242412e-14,0.13078664462926667,0.46346346346346345,0.0,0.0,0.0,0.07307307254348375,0.0,2.534093783302566e-14,1.259314890492708e-18,2.0798145424928558e-19,6.343470841315224e-16,1.4923339843826879e-22,1.7622927156188926e-14,8.48473870386046e-21,0.0,0.46346346346346345,1.711170154076713e-12,3.602550780279218e-10,3.6026586029009266e-10,3.3521917781851346e-10,9.642291353474546e-13,7.440252218657955e-13,6.570181119479859e-17,5.093282697152136e-22,6.348522186489286e-24,1.6923646107710112e-29,7.845310633358771e-23,6.3488139144639215e-24,4.4782664891462985e-30,1.4414320538534463e-15,4.568403855981978e-16,3.5374493079474736e-21,4.409230115138288e-23,6.897686460338391e-20
4.305279711445096e-14,0.13078664466005407,0.46346346346346345,0.0,0.0,0.0,0.07307307230811064,0.0,5.253558583007657e-14,2.610795711307125e-18,4.311758976406323e-19,1.3151289403541147e-15,4.4839635894500915e-22,3.6534817433963e-14,1.7591744689512917e-20,0.0,0.46346346346346345,2.4734552457842816e-12,5.203644273161302e-10,5.203867807196729e-10,4.841932225159473e-10,1.392760112998563e-12,1.0746576090199308e-12,1.3620726769292818e-16,1.242167657154906e-21,2.3081183495463304e-23,7.386837917745019e-29,2.3438935596884036e-22,1.8953622608650308e-23,1.9697460999384905e-29,2.9882553687305274e-15,9.471050104514166e-16,8.627457315422816e-21,1.6030875683175447e-22,1.3986619031762897e-19
6.954683301850463e-14,0.13078664472163284,0.46346346346346345,0.0,0.0,0.0,0.07307307183736442,0.0,1.365894538892983e-13,6.788168574750067e-18,1.1210265321336556e-18,3.4194314895514696e-15,1.927734091045143e-21,9.498746843053962e-14,4.574577085415521e-20,0.0,0.46346346346346345,4.001311597697652e-12,8.405755305607237e-10,8.406336489150103e-10,7.821183869276036e-10,2.249793270886665e-12,1.7358374620360225e-12,3.541177194782458e-16,3.786088396599115e-21,1.2083234650501643e-22,4.637993001150794e-28,9.95151266988733e-22,8.038249212640293e-23,1.4279480632972724e-28,7.769011699554593e-15,2.462453728899357e-15,2.6297562382603714e-20,8.392719483279239e-22,3.475161367052757e-19
1.2253490482661199e-13,0.1307866448448067,0.46346346346346345,0.0,0.0,0.0,0.07307307089587198,0.0,4.2334172267667536e-13,2.1040684806345013e-17,3.474443884650839e-18,1.0599191559324223e-14,1.085451372170328e-20,2.9439572720384113e-13,1.4183021034949003e-19,0.0,0.46346346346346345,7.070169197976477e-12,1.480967357313607e-09,1.4811474929898369e-09,1.3778770297609837e-09,3.9637444094065694e-12,3.057857572990324e-12,1.0974604243669449e-15,1.3245782063906565e-20,7.925479016235062e-22,3.472861902030276e-27,5.460471157973414e-21,4.410013343661362e-22,1.4591547009268754e-27,2.4077290084904416e-14,7.632308460335213e-15,9.201289754290826e-20,5.505382310489956e-21,9.857934668971643e-19
2.285110484428267e-13,0.1307866450912193,0.46346346346346345,0.0,0.0,0.0,0.07307306901288717,0.0,1.4713220892279026e-12,7.313816755074608e-17,1.2075159710301665e-17,3.6845023593945665e-14,7.206731400531002e-20,1.0231293376092922e-12,4.931956475511073e-19,0.0,0.4634634634634634,1.3260466574044703e-11,2.7616295026732368e-09,2.7622555998839166e-09,2.569027676936775e-09,7.391186069148698e-12,5.700540111642575e-12,3.813643944205648e-15,4.968386453025652e-20,5.793268885206088e-21,2.747957058002873e-26,3.446431570608064e-20,2.802305366690397e-21,1.7786137651822877e-26,8.366799054753463e-14,2.6527821524099287e-14,3.4520788327345474e-19,4.0250517463234934e-20,2.915590538320493e-18
