Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15)
5.025853131498341e-15,0.1307866445716416,0.46346346346346345,0.0,0.0,0.0,0.07307307298406174,0.0,8.600378602913786e-16,3.8595356137123823e-20,3.203623197953534e-21,2.068091562104577e-17,6.794515636665424e-25,5.95871310948788e-16,2.8789922575483557e-22,0.0,0.46346346346346345,8.201202958691118e-17,6.074713233216503e-11,6.074748276084314e-11,5.6527373295495856e-11
7.538783957723223e-15,0.1307866445774625,0.46346346346346345,0.0,0.0,0.0,0.07307307293955599,0.0,1.780596855886886e-15,7.990689265632823e-20,6.632682253943725e-21,4.281712462651629e-17,1.8557906699835343e-24,1.2336734330487166e-15,5.960582737297653e-22,0.0,0.46346346346346345,1.6865448250744766e-16,9.112063311214836e-11,9.112135862998194e-11,8.479075617493355e-11
1.0051714783948105e-14,0.1307866445832834,0.46346346346346345,0.0,0.0,0.0,0.07307307289505025,0.0,3.0283242743661427e-15,1.3590083333619522e-19,1.128043150364434e-20,7.282055643007182e-17,3.882929601973608e-24,2.0981508356651563e-15,1.0137378885168835e-21,0.0,0.46346346346346345,2.8573460467129277e-16,1.2149405593646868e-10,1.214952898515344e-10,1.1305390449483051e-10
1.2564645610172987e-14,0.13078664458910436,0.46346346346346345,0.0,0.0,0.0,0.0730730728505445,0.0,4.626587271997082e-15,2.0762594802155773e-19,1.7233910472260935e-20,1.1125309097347735e-16,7.068714124392616e-24,3.205492750335836e-15,1.548760437297286e-21,0.0,0.46346346346346345,4.354264916622185e-16,1.5186739523706217e-10,1.5186928037900595e-10,1.413168015028581e-10
1.7590507262622752e-14,0.13078664460074646,0.46346346346346345,0.0,0.0,0.0,0.07307307276153302,0.0,8.896724944944784e-15,3.992580211802264e-19,3.3140009644414984e-20,2.139344981188735e-16,1.8663403152953674e-23,6.164012848467641e-15,2.9782015431849604e-21,0.0,0.46346346346346345,8.346938814070376e-16,2.1261381802193347e-10,2.1261744307534379e-10,1.9784182581039433e-10
2.764223056752228e-14,0.13078664462403122,0.46346346346346345,0.0,0.0,0.0,0.07307307258351005,0.0,2.170510368672377e-14,9.74071829981949e-19,8.085055797283475e-20,5.219285863545256e-16,7.216760578205152e-23,1.5038128655075025e-14,7.265854845529876e-21,0.0,0.46346346346346345,2.030318608423538e-15,3.341056465924726e-10,3.3411449058061936e-10,3.1088881449629296e-10
3.769395387242181e-14,0.13078664464731674,0.46346346346346345,0.0,0.0,0.0,0.07307307240548708,0.0,4.0209073925124557e-14,1.804506178902094e-18,1.497766182918905e-19,9.668786384834582e-16,1.7910034969358169e-22,2.7858304211290215e-14,1.3460146330107961e-20,0.0,0.46346346346346345,3.75585057345398e-15,4.555961180085894e-10,4.5561250171799143e-10,4.239317198698247e-10
5.779740048222086e-14,0.13078664469389004,0.46346346346346345,0.0,0.0,0.0,0.07307307204944115,0.0,9.429784549152387e-14,4.2320158985396796e-18,3.5125224358265502e-19,2.2674974014484507e-15,6.504797728075914e-22,6.533253468103494e-14,3.156671121569561e-20,0.0,0.46346346346346345,8.796147821563324e-15,6.985729906824145e-10,6.98611413923939e-10,6.500052851290868e-10
9.800429370181897e-14,0.13078664478704577,0.46346346346346345,0.0,0.0,0.0,0.07307307133734929,0.0,2.7079244969116527e-13,1.215361580493607e-17,1.0086684277486242e-18,6.51141822468205e-15,3.2503946686597965e-21,1.8761099947668456e-13,9.065003918687646e-20,0.0,0.46346346346346345,2.523350911559878e-14,1.184510456171087e-09,1.1846207972618407e-09,1.1021034394007742e-09
1.784180801410152e-13,0.13078664497339385,0.46346346346346345,0.0,0.0,0.0,0.07307306991316562,0.0,8.970036954084861e-13,4.026346819101261e-17,3.3411419043596754e-18,2.1568552769601288e-14,2.0147519656800472e-20,6.21446440787592e-13,3.0028498772668196e-19,0.0,0.4634634634634634,8.353436441326867e-14,2.156320272921734e-09,2.1566857939319737e-09,2.006103885896185e-09
2.5883186658021144e-13,0.1307866451597907,0.46346346346346345,0.0,0.0,0.0,0.07307306848898194,0.0,1.887456899395762e-12,8.472955844954178e-17,7.030208197267128e-18,4.538301549958372e-14,5.923630598335573e-20,1.3076034069596827e-12,6.318634137409688e-19,0.0,0.46346346346346334,1.757360754071816e-13,3.1280432760448645e-09,3.12881242418502e-09,2.9098432345411038e-09
3.3924565301940766e-13,0.1307866453462363,0.46346346346346345,0.0,0.0,0.0,0.07307306706479831,0.0,3.242076211140426e-12,1.4555285439941376e-16,1.207550022908146e-17,7.795238401775106e-14,1.2973248795345365e-19,2.2460120930198227e-12,1.0853653212368526e-18,0.0,0.4634634634634633,3.0183770279224685e-13,4.099679473068573e-09,4.101000679018648e-09,3.8133215575540895e-09
4.196594394586039e-13,0.13078664553273076,0.46346346346346345,0.0,0.0,0.0,0.0730730656406147,0.0,4.960783675357365e-12,2.227343759187097e-16,1.8476640266130338e-17,1.1927416531160415e-13,2.4116026493239027e-19,3.4366006590601372e-12,1.6607701898013872e-18,0.0,0.46346346346346323,4.618383165065054e-13,5.0712288716705915e-09,5.0732505492012874e-09,4.716538929258933e-09
5.804870123369963e-13,0.1307866459058657,0.46346346346346345,0.0,0.0,0.0,0.0730730627922476,0.0,9.490174773518913e-12,4.2617590557647687e-16,3.534506681329366e-17,2.2816574184614627e-13,6.221106312940038e-19,6.57405161661945e-12,3.1772129667180806e-18,0.0,0.4634634634634629,8.835331172530702e-13,7.0140673019192145e-09,7.01793510149893e-09,6.522191093749162e-09
7.413145852153888e-13,0.13078664627919565,0.46346346346346345,0.0,0.0,0.0,0.0730730599438806,0.0,1.5475006696123354e-11,6.950623869295026e-16,5.763246539520506e-17,3.7203779533524104e-13,1.2784297659853867e-18,1.0719381396914868e-11,5.1810277088077854e-18,0.0,0.46346346346346257,1.4408131548982534e-12,8.956558628027852e-09,8.962866007286686e-09,8.326800322771025e-09
9.021421580937812e-13,0.13078664665272038,0.46346346346346345,0.0,0.0,0.0,0.0730730570955137,0.0,2.2914623510381254e-11,1.0294024998556823e-15,8.533565639461247e-17,5.508693375022466e-13,2.290449560626142e-18,1.587198519101123e-11,7.672041850448186e-18,0.0,0.4634634634634622,2.133670742897819e-12,1.089870291441688e-08,1.0908043188919115e-08,1.0130367242044644e-08
1e-12,0.130786647400354,0.46346346346346345,0.0,0.0,0.0,0.0730730553623841,0.0,2.8152987862799914e-11,1.264869640622856e-15,1.0484094530155112e-16,6.767805826591525e-13,3.1135056665669248e-18,1.9499816900905512e-11,9.426073134399536e-18,0.0,0.46346346346346196,2.621591118478882e-12,1.2080258646725308e-08,1.209173460800046e-08,1.1227263593075524e-08
1.223797303850566e-12,0.130786647400354,0.46346346346346345,0.0,0.0,0.0,0.07307305139878026,0.0,4.215566263333426e-11,1.8944774222569133e-15,1.569770599249438e-16,1.0133293193950004e-12,5.6938706289695674e-18,2.919666430155776e-11,1.411499766244284e-17,0.0,0.4634634634634612,3.926088800460153e-12,1.4781950618476208e-08,1.4799136077776874e-08,1.3734376583134954e-08
1.545452449607351e-12,0.13078664814876587,0.46346346346346345,0.0,0.0,0.0,0.07307304570204726,0.0,6.720821919866496e-11,3.0214679043180417e-15,2.5024469106072367e-16,1.6153833725436489e-12,1.1453716929288324e-17,4.6543411596521234e-11,2.2504745659307947e-17,0.0,0.4634634634634599,6.260728001659123e-12,1.8663810912675443e-08,1.8691213167060173e-08,1.7334223956090484e-08
1.8671075953641357e-12,0.13078664889795538,0.46346346346346345,0.0,0.0,0.0,0.0730730400053147,0.0,9.806725864583057e-11,4.410440703951368e-15,3.6511415366957457e-16,2.3568704207346077e-12,2.0186591238074554e-17,6.790758542112423e-11,3.283996105068386e-17,0.0,0.46346346346345835,9.137529567896657e-12,2.2544284292177802e-08,2.2584273859896555e-08,2.0929914163050443e-08
2.5104178868777054e-12,0.13078665039866436,0.46346346346346345,0.0,0.0,0.0,0.0730730286118509,0.0,1.7718469532741655e-10,7.974599890384999e-15,6.595612476285526e-16,4.2575007887609945e-12,4.903173646576641e-17,1.2266969189801613e-10,5.934150629880414e-17,0.0,0.46346346346345435,1.6517385640813752e-11,3.0301072285587294e-08,3.037334367152198e-08,2.8108842240097094e-08
3.1537281783912752e-12,0.13078665190247554,0.46346346346346345,0.0,0.0,0.0,0.07307301721838888,0.0,2.7946779204170033e-10,1.2587488441486926e-14,1.040123721335135e-15,6.713935097104145e-12,9.714954383797469e-17,1.93445945108637e-10,9.36090573550994e-17,0.0,0.4634634634634492,2.6065189082773025e-11,3.8052318557786394e-08,3.816634074087638e-08,3.5271199133502695e-08
4.048296565300412e-12,0.1307866539987774,0.46346346346346345,0.0,0.0,0.0,0.07307300137497837,0.0,4.6012865380552493e-10,2.0746159944300576e-14,1.712092915582694e-15,1.1051189319424894e-11,2.0531520565444581e-16,3.1841348201081003e-10,1.541487785170565e-16,0.0,0.4634634634634401,4.294461644332146e-11,4.8821770224559146e-08,4.900957210698876e-08,4.520349052865154e-08
4.942864952209549e-12,0.13078665610105292,0.46346346346346345,0.0,0.0,0.0,0.0730729855315713,0.0,6.853995680986708e-10,3.093520724587032e-14,2.5496864191208588e-15,1.645727540113173e-11,3.734052814439587e-16,4.741768014891702e-10,2.2965678679981293e-16,0.0,0.46346346346342876,6.40140275373479e-11,5.95805242250152e-08,5.986037552290695e-08,5.51039149034476e-08
5.8374333391186854e-12,0.13078665820928773,0.46346346346346345,0.0,0.0,0.0,0.07307296968816764,0.0,9.551732485103295e-10,4.315605978998761e-14,3.5523852034557494e-15,2.2928763007476377e-11,6.145510796521624e-16,6.606370532608446e-10,3.2010482101233823e-16,0.0,0.46346346346341505,8.927218177970782e-11,7.032859118417071e-08,7.071873818639381e-08,6.497257452590542e-08
6.732001726027822e-12,0.13078666032346734,0.46346346346346345,0.0,0.0,0.0,0.07307295384476743,0.0,1.2693427585742007e-09,5.74101445536818e-14,4.719672205678477e-15,3.046223369609702e-11,9.418383747326616e-16,8.776957297408231e-10,4.254647025612487e-16,0.0,0.4634634634633991,1.187178464768407e-10,8.10659817157954e-08,8.158464731041542e-08,7.48095713094929e-08
7.626570112936959e-12,0.13078666244357745,0.46346346346346345,0.0,0.0,0.0,0.07307293800137064,0.0,1.6278014689195746e-09,7.369888632475084e-14,6.0510320841284e-15,3.9054279453323835e-11,1.3683130114574866e-15,1.1252546238632777e-09,5.457083254407977e-16,0.0,0.4634634634633809,1.5234979581586715e-10,9.179270642353545e-08,9.24580901215709e-08,8.461500685676824e-08
8.521138499846096e-12,0.13078666456960364,0.46346346346346345,0.0,0.0,0.0,0.07307292215797731,0.0,2.0304430089836517e-09,9.202370805297704e-14,7.545950948736437e-15,4.870150105714462e-11,1.9069871727870996e-15,1.4032157819078388e-09,6.808076447824779e-16,0.0,0.4634634634633604,1.9016680979426747e-10,1.0250877590259399e-07,1.033390538578511e-07,9.43889825081848e-08
