Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78)
6.386707918085478e-13,0.1307866460456985,0.46346346346346345,0.0,0.0,0.0,0.07307306172516641,0.0,1.148736306496491e-11,5.712754685499975e-16,9.426357435383315e-17,2.874906504354456e-13,1.3960204380131233e-18,7.987172904235938e-12,3.8458941845922165e-18,0.0,0.463463463463463,3.767540337995791e-11,7.716856805347972e-09,7.721538634473414e-09,7.1751895445389385e-09,2.0650636421628618e-11,1.5914738893961884e-11,2.976409654759041e-14,4.1628117531372863e-19
8.156185462490194e-13,0.13078664645786642,0.46346346346346345,0.0,0.0,0.0,0.07307305858115778,0.0,1.8731433347933174e-11,9.317131927238195e-16,1.5369989772126657e-16,4.687639977997886e-13,2.868766983643585e-18,1.3023315032472842e-11,6.2713669734418655e-18,0.0,0.46346346346346273,4.8491799936786383e-11,9.853891998402326e-09,9.861526792437576e-09,9.160214292743117e-09,2.636808201715106e-11,2.03135609774028e-11,4.852509030094136e-14,6.834769802699896e-19
9.92566300689491e-13,0.13078664687027095,0.46346346346346345,0.0,0.0,0.0,0.07307305543714925,0.0,2.7736191218167043e-11,1.3798932174144463e-15,2.275768352725597e-16,6.94080088825212e-13,5.139647632225762e-18,1.9283008140987715e-11,9.28650893025017e-18,0.0,0.4634634634634625,5.947227503762471e-11,1.1990507129975531e-08,1.2001813019806174e-08,1.1143979369884176e-08,3.208381820827902e-11,2.470785553262031e-11,7.1839599076536e-14,1.0164657132306186e-18
1e-12,0.13078664769578935,0.46346346346346345,0.0,0.0,0.0,0.07307305530506723,0.0,2.815301236683127e-11,1.400642246194104e-15,2.30996394230862e-16,7.045093629276829e-13,5.255127590851118e-18,1.9572751368181624e-11,9.426080397609699e-18,0.0,0.46346346346346246,5.993716366381844e-11,1.2080258637721545e-08,1.2091734468427725e-08,1.1227291173189667e-08,3.232390289232191e-11,2.4892363908025114e-11,7.29186538926826e-14,1.0318938542627361e-18
1.3464618095704342e-12,0.13078664769578935,0.46346346346346345,0.0,0.0,0.0,0.0730730491491324,0.0,5.102437994336804e-11,2.5395299847354007e-15,4.1861595831110005e-16,1.2767299549889088e-12,1.2776362700635869e-17,3.546990289252535e-11,1.7084908257420363e-17,0.0,0.46346346346346173,8.192541922983815e-11,1.6262477542201046e-08,1.6283279280655656e-08,1.5107733742152087e-08,4.351016549117646e-11,3.348288239315584e-11,1.3211023814094864e-13,1.8795503267576e-18
1.7003573184513774e-12,0.1307866485222528,0.46346346346346345,0.0,0.0,0.0,0.07307304286111589,0.0,8.13451837549774e-11,4.050284857866248e-15,6.673081274924627e-16,2.0352202767608176e-12,2.570001410112968e-17,5.6541600283084656e-11,2.7239316832344063e-17,0.0,0.46346346346346073,1.0503475303948832e-10,2.0532768705976486e-08,2.056593661666548e-08,1.906645909088474e-08,5.492968446774314e-11,4.223985992847528e-11,2.1053836911234418e-13,3.0049907966461986e-18
2.0542528273323206e-12,0.13078664934966047,0.46346346346346345,0.0,0.0,0.0,0.0730730365730997,0.0,1.1869190892417e-10,5.912256220061672e-15,9.735810978269372e-16,2.969332784205693e-12,4.529365620093478e-17,8.249189193334055e-11,3.9747972729040205e-17,0.0,0.4634634634634596,1.2880019427004095e-10,2.4801381280683135e-08,2.4849784233023156e-08,2.30201617958244e-08,6.634238129192514e-11,5.0978828244544474e-11,3.0708667441622557e-13,4.392248012664155e-18
2.408148336213264e-12,0.1307866501780114,0.46346346346346345,0.0,0.0,0.0,0.07307303028508383,0.0,1.630578747421074e-10,8.12554231894806e-15,1.3373627776584618e-15,4.0788496471351394e-12,7.293754304011674e-17,1.1331458205336039e-10,5.460911722487896e-17,0.0,0.46346346346345824,1.5322166096909784e-10,2.906831592496605e-08,2.913482133584325e-08,2.6968848223812574e-08,7.774826210991108e-11,5.969982733146742e-11,4.2171794861948183e-13,6.040784409570711e-18
3.1159393539751503e-12,0.13078665183753935,0.46346346346346345,0.0,0.0,0.0,0.07307301770905301,0.0,2.7282082883989353e-10,1.3606451743067017e-14,2.2371642359698756e-15,6.823225980584964e-12,1.578915154235927e-16,1.8955239959534474e-10,9.138184179027095e-17,0.0,0.46346346346345507,2.0403234380734292e-10,3.759715405815346e-08,3.770846082400849e-08,3.4851197690795006e-08,1.005396003184256e-10,7.708807738866642e-11,7.0508097318145e-13,1.0119550059841633e-17
3.823730371737037e-12,0.13078665350082952,0.46346346346346345,0.0,0.0,0.0,0.07307300513302341,0.0,4.105806917434735e-10,2.0493798837397678e-14,3.366136999627516e-15,1.0266609904294885e-11,2.9158300242727846e-16,2.85205581110212e-10,1.375434405318359e-16,0.0,0.46346346346345113,2.574661486707647e-10,4.611928837611512e-08,4.628684872911836e-08,4.2713558330121575e-08,1.2330374825912306e-10,9.440492875384624e-11,1.06033106097831e-12,1.523700532813289e-17
