Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145)
6.918017771503101e-15,0.1307866445760764,0.46346346346346345,0.0,0.0,0.0,0.07307307295015365,1.0111836762039844e-33,1.6295210335778699e-15,8.09766651739081e-20,1.3374066365169538e-20,4.078947077047737e-17,2.9858593536396936e-24,1.1332308800141028e-15,5.455218421109431e-22,0.0,0.46346346346346345,3.966971488964329e-13,8.361745776926019e-11,8.361815110368982e-11,7.780874192719244e-11,2.2380482965136154e-13,1.7270283586197994e-13,4.2250098432967524e-18,1.5043384028251505e-23,5.956255749551501e-26,7.918332399884678e-32,1.582257187320509e-24,1.282143527988608e-25,3.052251652648971e-32,9.269210625474031e-17,2.9376392254722294e-17,1.0447776145791242e-22,4.136676728848231e-25,4.592053827048235e-21,4.401585709780558e-28,3.764494589418611e-57,1.8392109029768218e-62
1.0377032521740921e-14,0.1307866445841148,0.46346346346346345,0.0,0.0,0.0,0.07307307288869386,3.536160870094238e-33,3.373708604276168e-15,1.6765216960907281e-19,2.768922779515787e-20,8.444967939297425e-17,8.155289641884802e-24,2.346202840242397e-15,1.129455496220474e-21,0.0,0.46346346346346345,5.951490020315383e-13,1.2542601958569731e-10,1.254274550453851e-10,1.1671246055127786e-10,3.357065319518141e-13,2.5905173901550235e-13,8.747286077465342e-18,3.856790250624938e-23,1.9771688250096049e-25,3.129121932205256e-31,4.316699200224286e-24,3.4972056406812955e-25,1.0658763724699712e-31,1.9190607420325072e-16,6.082000208554384e-17,2.6785902009629475e-22,1.3731679489595655e-24,9.459408299410423e-21,1.2022103782730812e-27,5.209295403119412e-56,2.8418664351541283e-61
1.3836047271978742e-14,0.13078664459215322,0.46346346346346345,0.0,0.0,0.0,0.07307307282723406,8.8359066394085e-33,5.737780515556821e-15,2.851327818921904e-19,4.709198432844112e-20,1.436271654288057e-16,1.7063555460401908e-23,3.990262787088913e-15,1.9209424691529133e-21,0.0,0.46346346346346345,7.936695139516025e-13,1.6723442269822908e-10,1.6723686403654927e-10,1.5561570010464375e-10,4.4760763249418233e-13,3.4539886731078023e-13,1.4876742011013926e-17,7.638491427188245e-23,4.736291492546031e-25,8.429266573811728e-31,9.022828418871545e-24,7.308592713820275e-25,2.6602283992393937e-31,3.2637999773067007e-16,1.0343873108282932e-16,5.3050518722578265e-22,3.2894230118252207e-24,1.6011006573396136e-20,2.5154271198832903e-27,2.3910852341311566e-55,1.4414706057284037e-60
1.7295062022216562e-14,0.13078664460019176,0.46346346346346345,0.0,0.0,0.0,0.07307307276577427,1.8746343887369155e-32,8.766008544091725e-15,4.356189442779358e-19,7.19456810433601e-20,2.1943041289802938e-16,3.106347456223697e-23,6.0961974576161014e-15,2.9348191136296824e-21,0.0,0.46346346346346345,9.922635890025545e-13,2.0904265577145767e-10,2.090463855800518e-10,1.9451842637381127e-10,5.595080883008319e-13,4.3174409401101075e-13,2.2728141225216012e-17,1.3173999722563197e-22,9.63915522563234e-25,1.8936105078002834e-30,1.6408795092658273e-23,1.328892865788686e-24,5.637304131939227e-31,4.986317264960879e-16,1.580307412623006e-16,9.149588099794671e-22,6.694554912355083e-24,2.434164115599264e-20,4.579239868472425e-27,8.81096981365188e-55,5.668817446481074e-60
2.4213091522692203e-14,0.13078664461626913,0.46346346346346345,0.0,0.0,0.0,0.07307307264285468,6.868079927584045e-32,1.685661291326984e-14,8.376816606545548e-19,1.3834792147358107e-19,4.2195924679797113e-16,8.201614709250799e-23,1.1722667595835815e-14,5.6437836974596925e-21,0.0,0.46346346346346345,1.3896770503016815e-12,2.9265860112315987e-10,2.926657733894566e-10,2.7232230685772144e-10,7.833070252428904e-13,6.044287234420237e-13,4.370470057268337e-17,3.055817154280265e-22,3.132295766187591e-24,7.555333314860745e-30,4.320258963016598e-23,3.497240902005919e-24,2.0574578609738938e-30,9.588367121063068e-16,3.038863239576188e-16,2.122345721562235e-21,2.1754540595620558e-23,4.628348993064317e-20,1.2090545163359236e-26,1.071897324176032e-53,1.0047851372801366e-58
3.1131121023167844e-14,0.13078664463234682,0.46346346346346345,0.0,0.0,0.0,0.07307307251993508,1.7834073728069219e-31,2.7644621610448283e-14,1.3737985781233088e-18,2.268884951101592e-19,6.92015711025595e-16,1.7003888014292071e-22,1.922497636121238e-14,9.256150903181501e-21,0.0,0.46346346346346345,1.78738929268495e-12,3.7627385586411474e-10,3.7628561832354104e-10,3.501241027108803e-10,1.0071033436482416e-12,7.771056300731335e-13,7.167447269569108e-17,5.677149492143783e-22,7.409056184867354e-24,2.0206021739051937e-29,8.934303603215523e-23,7.229513933632163e-24,5.325863132945579e-30,1.5724665405767294e-15,4.983709433180612e-16,3.9429724903088746e-21,5.145811012325505e-23,7.508103233320653e-20,2.506672650251616e-26,5.3218029837844755e-53,5.646655606319281e-58
4.4967180024119125e-14,0.13078664466450338,0.46346346346346345,0.0,0.0,0.0,0.07307307227409589,7.905057515651746e-31,5.731143447208281e-14,2.8481423259373578e-18,4.703726128125897e-19,1.4346882316072372e-15,5.109095055984002e-22,3.9856059065794656e-14,1.9191202138570436e-20,0.0,0.46346346346346345,2.5837100020077173e-12,5.435022938343343e-10,5.435266793402435e-10,5.057214416931243e-10,1.454688126203939e-12,1.1224362801070427e-12,1.4858906717196574e-16,1.378295274790613e-21,2.681403010786998e-23,8.736226622031899e-29,2.6685770590128207e-22,2.157711377019868e-23,2.341796461776037e-29,3.2599005530170177e-15,1.0332043946131812e-15,9.572961657193296e-21,1.8623550776355828e-22,1.5210008332602904e-19,7.531823886701148e-26,7.985967009975357e-52,1.1259539871176827e-56
7.26392980260217e-14,0.13078664472882087,0.46346346346346345,0.0,0.0,0.0,0.0730730717824175,5.830369783218209e-30,1.4900618814312e-13,7.405281473073636e-18,1.2229333336998255e-18,3.7302978246778816e-15,2.1964856166707417e-21,1.0362223968423806e-13,4.990528957460267e-20,0.0,0.46346346346346345,4.17993633752636e-12,8.779508839816754e-10,8.780142857142539e-10,8.16891110815575e-10,2.3498262761546668e-12,1.8130049402914693e-12,3.863073696239671e-16,4.178516167012692e-21,1.3955982517312417e-22,5.420886693733829e-28,1.132384396057634e-21,9.145999347342416e-23,1.6964775373199432e-28,8.475223608578995e-15,2.6863089057236433e-15,2.9023467442664275e-20,9.693531677162044e-22,3.7720488508316774e-19,3.238169992498117e-25,2.715944107985616e-50,5.075191038407724e-55
1.2798353402982683e-13,0.1307866448574736,0.46346346346346345,0.0,0.0,0.0,0.07307307079906072,6.162461017097015e-29,4.6182458157103e-13,2.295351186033145e-17,3.790275950867883e-18,1.1562803058225294e-14,1.2367735827524003e-20,3.211564237770112e-13,1.5472763149805882e-19,0.0,0.46346346346346345,7.386728934772411e-12,1.5468149229046134e-09,1.5470114339406801e-09,1.4391304295422259e-09,4.139976929496299e-12,3.193771803639397e-12,1.197213566582391e-15,1.4550482103645652e-20,9.105646181542201e-22,4.0177117684797215e-27,6.206607842528478e-21,5.013192175425717e-22,1.7313588466053826e-27,2.6265786239925373e-14,8.326131907490791e-15,1.010771629529393e-19,6.32523600414277e-21,1.0663270704099503e-18,1.823446847298417e-24,1.605451922420857e-48,3.636363612746185e-53
2.386720060374371e-13,0.1307866451148498,0.46346346346346345,0.0,0.0,0.0,0.07307306883234721,7.973850831879089e-28,1.6050603719937638e-12,7.978734102733488e-17,1.3172725795419628e-17,4.019487826857083e-14,8.211364043985626e-20,1.1161241588010225e-12,5.380488261471294e-19,0.0,0.4634634634634634,1.3857676786947072e-11,2.8844104475628084e-09,2.8850934586466665e-09,2.6832091090762682e-09,7.719775754435502e-12,5.95382449639249e-12,4.160233200468495e-15,5.440527127043725e-20,6.6314429637070736e-21,3.157249590100391e-26,3.909185339774033e-20,3.181697123916407e-21,2.1063081184124837e-26,9.127185890393961e-14,2.89392936071577e-14,3.780202723600708e-19,4.6074818605441074e-20,3.1360948342026633e-18,1.2108256837598867e-23,1.2860096803920502e-46,3.265350128337644e-51
