Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157)
7.10758760390699e-15,0.13078664457651692,0.46346346346346345,0.0,0.0,0.0,0.0730730729467854,1.1266582974229065e-33,1.7200495283863997e-15,8.54753749364997e-20,1.4117065700059755e-20,4.305556106502896e-17,3.238104488939759e-24,1.1961877325740094e-15,5.75829529511511e-22,0.0,0.46346346346346345,4.075726577578322e-13,8.59087595157908e-11,8.590949136869972e-11,7.994084759347286e-11,2.2993755977152015e-13,1.7743516526910018e-13,4.459729675197847e-18,1.6213893059908436e-23,6.598946127502882e-26,8.955351034267702e-32,1.7157348688699336e-24,1.3902755147379771e-25,3.4002862379764077e-32,9.784161055385496e-17,3.100840813126956e-17,1.1260710784811204e-22,4.583033220882399e-25,4.8450695080804035e-21,4.77343263038492e-28,4.547725565585752e-57,2.2668138567297802e-62,3.541793773762504e-41,4.500747431295694e-64
1.0661387431047366e-14,0.13078664458477562,0.46346346346346345,0.0,0.0,0.0,0.07307307288364147,3.939981464283715e-33,3.5611356268853185e-15,1.7696619581653722e-19,2.922750634846564e-20,8.91413516520264e-17,8.844247040122992e-24,2.4765462992890614e-15,1.1922055101486922e-21,0.0,0.46346346346346345,6.114679935796659e-13,1.288629609283759e-10,1.288644761355506e-10,1.1991058095318866e-10,3.4490558220649116e-13,2.661500892983156e-13,9.233238505047396e-18,4.151113465604956e-23,2.1879854881156234e-25,3.5309656322500007e-31,4.680705572083625e-24,3.792011741989822e-25,1.1873681132412376e-31,2.025673666509405e-16,6.419887571273143e-17,2.8830030334799417e-22,1.5195834790548561e-24,9.979244175996944e-21,1.3037733684830307e-27,6.292514375207483e-56,3.4999352766996636e-61,1.5487740596062785e-40,5.974106701594335e-63
1.421518725818774e-14,0.13078664459303432,0.46346346346346345,0.0,0.0,0.0,0.07307307282049753,9.844944659005958e-33,6.056543519533335e-15,3.0097352713183527e-19,4.9708180834956685e-20,1.5160650128358297e-16,1.8505080151616602e-23,4.211941661116721e-15,2.0276666568677522e-21,0.0,0.46346346346346345,8.154358025780423e-13,1.7181699482023138e-10,1.7181957178788584e-10,1.5987980862772843e-10,4.598729694528798e-13,3.5486313986991386e-13,1.5703211311210065e-17,8.211774238332253e-23,5.236521478836644e-25,9.495535704997506e-31,9.78340906627605e-24,7.924436938758353e-25,2.9633560323252642e-31,3.445118931754747e-16,1.0918529635178025e-16,5.703209604264492e-22,3.636842168435604e-24,1.6888690473028738e-20,2.72793093384057e-27,2.8881717248219e-55,1.7739132283140215e-60,4.508921452492472e-40,2.8063050095741987e-62
1.7768987085328117e-14,0.13078664460129316,0.46346346346346345,0.0,0.0,0.0,0.0730730727573536,2.088712840096144e-32,9.25300432159307e-15,4.598200607184429e-19,7.594261810876383e-20,2.3162108023727275e-16,3.368770616194548e-23,6.434870739771893e-15,3.097873941860495e-21,0.0,0.46346346346346345,1.0194812615678502e-12,2.1477084922623655e-10,2.1477478624537711e-10,1.998484945030757e-10,5.748396761455888e-13,4.435741832075562e-13,2.399078623773732e-17,1.4147040193484314e-22,1.0647936657312722e-24,2.1296401754611136e-30,1.779147644173746e-23,1.4408230610012386e-24,6.279464518847829e-31,5.263328944270017e-16,1.6681017268295754e-16,9.825390708689114e-22,7.395175668840078e-24,2.567259420143712e-20,4.966095005993516e-27,1.06421504701344e-54,6.97161225253142e-60,1.0938894508206853e-39,1.0552813698846172e-61
2.487658673960887e-14,0.1307866446178111,0.46346346346346345,0.0,0.0,0.0,0.07307307263106572,7.652396874697047e-32,1.7793079006711285e-14,8.84219699681145e-19,1.4603379777917772e-19,4.45401660686919e-16,8.894482421617193e-23,1.2373915410046311e-14,5.9573513224422665e-21,0.0,0.46346346346346345,1.4278100081233033e-12,3.0067800831081387e-10,3.0068557903359784e-10,2.7978420686657033e-10,8.047710051589177e-13,6.209901223832495e-13,4.613266311335218e-17,3.2739766439068585e-22,3.452505770793923e-24,8.457629680029789e-30,4.68394609887629e-23,3.7914824163115185e-24,2.2915957434996976e-30,1.012103848307444e-15,3.207687648575478e-16,2.273865814544237e-21,2.3978498698982768e-23,4.879946226756509e-20,1.311195685235249e-26,1.294407987588492e-53,1.2302056766285825e-58,5.641797397899067e-39,1.7943199736828495e-60
3.198418639388962e-14,0.13078664463432943,0.46346346346346345,0.0,0.0,0.0,0.07307307250477783,1.9870678337560795e-31,2.918040821055932e-14,1.450121071772518e-18,2.3949316415033544e-19,7.304615104740847e-16,1.8440363238688905e-22,2.0293006768357987e-14,9.770430478479289e-21,0.0,0.46346346346346345,1.836454134857171e-12,3.8658443841796807e-10,3.8659685434165805e-10,3.597177187922791e-10,1.0346995701662998e-12,7.983979097528998e-13,7.565623159837775e-17,6.071536726701616e-22,8.153420401567657e-24,2.2547131686312535e-29,9.685741853192285e-23,7.837177037345558e-24,5.931455346573245e-30,1.6598225378290561e-15,5.260579575373029e-16,4.216893874481996e-21,5.662801103490166e-23,7.913943924755045e-20,2.71843684565184e-26,6.425847765162017e-53,6.901150760732219e-58,1.8125707396215185e-38,1.0319710213115142e-59
4.6199385702451125e-14,0.13078664466736728,0.46346346346346345,0.0,0.0,0.0,0.07307307225220207,8.807793915902933e-31,6.049532580037847e-14,3.0063735082252415e-18,4.965036815582919e-19,1.514394568869447e-15,5.540704954309778e-22,4.2070212954095613e-14,2.0257520619417555e-20,0.0,0.46346346346346345,2.6546884037796117e-12,5.583951120392182e-10,5.584208522783152e-10,5.195781425717845e-10,1.494548409600891e-12,1.1531890345881543e-12,1.56843554466332e-16,1.46991148959825e-21,2.9424249299401665e-23,9.691209362847356e-29,2.892557671823981e-22,2.3386759020221795e-23,2.6075334286108766e-29,3.4409963593639955e-15,1.0906039158211256e-15,1.020930485124411e-20,2.0436502518867304e-22,1.6022453455381703e-19,8.168113732233957e-26,9.639111335257683e-52,1.3685967231045667e-56,1.2037471636577405e-37,2.5742373936527983e-58
7.462978431957414e-14,0.13078664473344753,0.46346346346346345,0.0,0.0,0.0,0.07307307174705055,6.496181501862362e-30,1.572839775918639e-13,7.816690527140692e-18,1.2908708803063992e-18,3.9375426488872715e-15,2.38203958402947e-21,1.0937872290301496e-13,5.2678353046177837e-20,0.0,0.46346346346346345,4.2949410244758434e-12,9.020077131827046e-10,9.020746371600696e-10,8.392725920652873e-10,2.41421292815871e-12,1.8626734987520294e-12,4.0776694214987595e-16,4.441648560163522e-21,1.5259837396800388e-22,5.9700548601586175e-28,1.2269977942745416e-21,9.909693465843064e-23,1.8881431904962805e-28,8.946027321447742e-15,2.835545412012036e-15,3.085126606510596e-20,1.0599195124414784e-21,3.968764441693915e-19,3.5117310463642965e-25,3.2759018424318025e-50,6.123999742824668e-55,1.5566563238225317e-36,1.8669560177375985e-56
1.3149058155382016e-13,0.13078664486562686,0.46346346346346345,0.0,0.0,0.0,0.0730730707367475,6.866194448474898e-29,4.8747963286268e-13,2.4228732459380275e-17,4.000828853949103e-18,1.2205213971028895e-14,1.3412505238878889e-20,3.389967139093799e-13,1.6332613224441337e-19,0.0,0.46346346346346345,7.590582881256046e-12,1.5891979330184835e-09,1.589405360919394e-09,1.478555915955151e-09,4.253409339271469e-12,3.281251396136025e-12,1.2637145737619662e-15,1.542297201188173e-20,9.924396312508375e-22,4.3972476418385236e-27,6.720409481492739e-21,5.428665368407833e-22,1.9254126061797553e-27,2.7724759882892335e-14,8.788679345426696e-15,1.0713877266789928e-19,6.894021566075094e-21,1.1194709921263466e-18,1.9774916628344822e-24,1.9342190748691215e-48,4.358196460309054e-53,3.0675226256815564e-35,2.4354221184755536e-54
2.452121760223122e-13,0.13078664513006016,0.46346346346346345,0.0,0.0,0.0,0.07307306871614147,8.884433034670864e-28,1.6942179794548941e-12,8.422014036150429e-17,1.390442451990729e-17,4.242813506763136e-14,8.904984580322318e-20,1.178119549657498e-12,5.679518113899977e-19,0.0,0.4634634634634634,1.4242416260026789e-11,2.9634384562201176e-09,2.964159409609134e-09,2.7567003936380194e-09,7.93127177079499e-12,6.116843928295041e-12,4.391285500443452e-15,5.755777852923563e-20,7.211621688222117e-21,3.441148529922741e-26,4.2271392730767336e-20,3.442753727695432e-21,2.3395074801103496e-26,9.634094655821546e-14,3.054693161427498e-14,3.9992981614455565e-19,5.0106441524402425e-20,3.280680798985913e-18,1.3131158178274645e-23,1.5469932759175645e-46,3.892525129538276e-51,7.3654529888830284e-34,4.188473130946693e-52
