Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20)
3.5656591426707184e-12,0.13078665288217084,0.46346346346346345,0.0,0.0,0.0,0.07307300980745547,0.0,3.571116938300219e-10,1.695593911241418e-14,2.1284714908932936e-15,8.930237102282695e-12,1.8798534967039947e-16,2.471606623852177e-10,1.1962554459745572e-16,0.0,0.46346346346344747,1.4866850853951323e-10,4.3012766524329165e-08,4.315849098895991e-08,3.9849136664087163e-08,1.150053524410667e-10
4.225679925578694e-12,0.13078665443310605,0.46346346346346345,0.0,0.0,0.0,0.07307299809668817,0.0,5.012574008672891e-10,2.3818313364552798e-14,2.987064760273403e-15,1.2532613414727223e-11,3.127020815826223e-16,3.4685729896325343e-10,1.679328422630854e-16,0.0,0.46346346346344114,1.8349218512966459e-10,5.09559661992801e-08,5.1160567854283227e-08,4.716965929833467e-08,1.3621732419904874e-10
4.8857007084866696e-12,0.1307866559872948,0.46346346346346345,0.0,0.0,0.0,0.07307298638592241,0.0,6.696758635136419e-10,3.1845428956901147e-14,3.989960558948948e-15,1.6740461176861277e-11,4.830169228761236e-16,4.6330762199785906e-10,2.2438532357637126e-16,0.0,0.4634634634634339,2.2059638767915132e-10,5.8893343612916776e-08,5.9166765213311236e-08,5.447286939443409e-08,1.5740563553486175e-10
5.545721491394645e-12,0.13078665754473123,0.46346346346346345,0.0,0.0,0.0,0.07307297467515815,0.0,8.623240651891715e-10,4.103789054290757e-14,5.136823236470215e-15,2.1552378421438094e-11,7.059904326010135e-16,5.964720010655726e-10,2.889716536511453e-16,0.0,0.46346346346342565,2.5998060638083376e-10,6.682490303209822e-08,6.717707792492425e-08,6.175880792453139e-08,1.785703287620608e-10
6.865763057210596e-12,0.13078666066932396,0.46346346346346345,0.0,0.0,0.0,0.07307295125363415,0.0,1.3201380796818257e-09,6.292126683068006e-14,7.861110846201104e-15,3.2982829350194664e-11,1.3380755512237245e-15,9.127848560476539e-10,4.425006294163078e-16,0.0,0.4634634634634061,3.455870633214495e-10,8.267058493924289e-08,8.321002886199451e-08,7.627903370953808e-08,2.2082902987919254e-10
8.185804623026548e-12,0.13078666380683804,0.46346346346346345,0.0,0.0,0.0,0.07307292783211605,0.0,1.8743572434554922e-09,8.947326489420835e-14,1.1157260101351957e-14,4.681281702950878e-11,2.2651055668510738e-15,1.2954807109512794e-09,6.284295471515417e-16,0.0,0.46346346346338263,4.403075208105234e-10,9.849304599183963e-08,9.925937962238827e-08,9.073066247577936e-08,2.6299376494663947e-10
9.5058461888425e-12,0.13078666695722743,0.46346346346346345,0.0,0.0,0.0,0.07307290441060368,0.0,2.5246408906108796e-09,1.206986958313101e-13,1.5022617593414492e-14,6.303124518951602e-11,3.542961321370191e-15,1.7442459151508856e-09,8.466685472687473e-16,0.0,0.46346346346335526,5.441379781196061e-10,1.1429232021052428e-07,1.1532508923106574e-07,1.0511401849223781e-07,3.050648704773768e-10
1e-11,0.13078667012044642,0.46346346346346345,0.0,0.0,0.0,0.0730728956428285,0.0,2.7927153984691017e-09,1.3359102555355932e-13,1.6615489320250994e-14,6.971472346963251e-11,4.122901790896183e-15,1.929172068215867e-09,9.36658956903295e-16,0.0,0.46346346346334416,5.853492760262672e-10,1.2020077594573292e-07,1.2134344183894597e-07,1.1048089014112172e-07,3.20790052310376e-10
1.0825887754658451e-11,0.13078667012044642,0.46346346346346345,0.0,0.0,0.0,0.07307288098909698,0.0,3.270649863689587e-09,1.5660235935663396e-13,1.945454374901311e-14,8.162706954935837e-11,5.227260993245604e-15,2.2587682943974825e-09,1.0971281267270335e-15,0.0,0.46346346346332423,6.570744683029738e-10,1.300684415663104e-07,1.314071167799167e-07,1.1942942450129449e-07,3.470426821159606e-10
1.3465970886290352e-11,0.13078667648519082,0.46346346346346345,0.0,0.0,0.0,0.07307283414609998,0.0,5.048494641180624e-09,2.424635263384648e-13,3.0007612362699864e-14,1.259069876497691e-10,1.0036361906969437e-14,3.4838432046068534e-09,1.6943527808255985e-15,0.0,0.4634634634632509,9.102498466674253e-10,1.6155136132589937e-07,1.6361996239931084e-07,1.4785766989402736e-07,4.307197619761753e-10
