Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40)
5.8791846020459945e-15,0.1307866445736623,0.46346346346346345,0.0,0.0,0.0,0.07307307296861168,0.0,1.1768787089328863e-15,5.848312351325228e-20,9.659060619666195e-21,2.945855692918183e-17,1.8326303996239345e-24,8.184434410625861e-16,3.93962362636114e-22,0.0,0.46346346346346345,3.370838361962532e-13,7.106124893098563e-11,7.106172845334351e-11,6.612494322500165e-11,1.901977341386618e-13,1.4677011840725342e-13,3.051412570763455e-18,9.55642901220112e-24,3.20648473483118e-26,3.755099476258633e-32,9.717250187748206e-25
8.818781886923981e-15,0.13078664458049358,0.46346346346346345,0.0,0.0,0.0,0.07307307291638089,0.0,2.436573899284386e-15,1.210820580654043e-19,1.9997810261252114e-20,6.09900555637348e-17,5.0054740756691735e-24,1.6944790561411453e-15,8.156481182829322e-22,0.0,0.46346346346346345,5.05688476379306e-13,1.0659177369386289e-10,1.0659276648349302e-10,9.918699030117234e-11,2.852961108154377e-13,2.2015357091609392e-13,6.317529246952105e-18,2.4694626609813767e-23,1.0713688330131107e-25,1.5030054343217713e-31,2.6514947273199213e-24
1.1758379171801967e-14,0.1307866445873249,0.46346346346346345,0.0,0.0,0.0,0.0730730728641501,0.0,4.143966349464282e-15,2.0592909641472746e-19,3.401094998788723e-20,1.0372784513740968e-16,1.047310865603386e-23,2.8818575218001012e-15,1.3872019281768977e-21,0.0,0.46346346346346345,6.743347591419251e-13,1.4212219178191512e-10,1.421238802557316e-10,1.322487168451735e-10,3.8039405288668325e-13,2.9353586886195223e-13,1.0744406859045479e-17,4.9236761868017034e-23,2.5798195708954616e-25,4.088311945766317e-31,5.543015612375217e-24
1.4697976456679954e-14,0.1307866445941563,0.46346346346346345,0.0,0.0,0.0,0.07307307281191931,0.0,6.331031210885411e-15,3.1461343612032415e-19,5.1960901419611313e-20,1.5847226948615607e-16,1.9065858751401142e-23,4.402814621573314e-15,2.119327805076182e-21,0.0,0.46346346346346345,8.430256589143173e-13,1.7765249557582845e-10,1.7765507517982688e-10,1.6531009996492413e-10,4.754915293121024e-13,3.6691692979543734e-13,1.64149372051289e-17,8.546029750820362e-23,5.276582465841801e-25,9.270960038534665e-31,1.0081973572343576e-23
2.0577171026435925e-14,0.13078664460781925,0.46346346346346345,0.0,0.0,0.0,0.07307307270745775,0.0,1.2174286549931858e-14,6.04991660744506e-19,9.991829103353408e-20,3.047344944658445e-16,5.033921165914741e-23,8.466397921465584e-15,4.075376215368457e-21,0.0,0.46346346346346345,1.1805441118002152e-12,2.4871275310409013e-10,2.4871771357848934e-10,2.3143181438059073e-10,6.656850559963299e-13,5.136752630547854e-13,3.156494524518075e-17,2.0092248471536426e-22,1.7367571897885263e-24,3.800939886299429e-30,2.6555626906900935e-23
3.233556016594787e-14,0.13078664463514597,0.46346346346346345,0.0,0.0,0.0,0.0730730724985346,0.0,2.970123365973583e-14,1.4760019771830733e-18,2.437666909824002e-19,7.434487295154603e-16,1.9465116058899326e-22,2.0655130682006774e-14,9.942595320966529e-21,0.0,0.46346346346346345,1.856124286245606e-12,3.908318764986169e-10,3.908439784822899e-10,3.636710617677344e-10,1.0460664397030344e-12,8.0717686857892e-13,7.700684753194893e-17,6.222417401443984e-22,8.865914067049987e-24,2.5481410397459074e-29,1.0212585962803753e-22
4.409394930545981e-14,0.13078664466247372,0.46346346346346345,0.0,0.0,0.0,0.07307307228961146,0.0,5.502195540185796e-14,2.73435267401456e-18,4.515797067723883e-19,1.3772447270716874e-15,4.830704087288293e-22,3.826378400817277e-14,1.8418840912158844e-20,0.0,0.46346346346346345,2.5324294396274936e-12,5.32949142765063e-10,5.329715619740974e-10,4.959047292638471e-10,1.4264402575163712e-12,1.1006583765296318e-12,1.4265432337676495e-16,1.3131701599569374e-21,2.521464295963763e-23,8.1825584874173e-29,2.523437750735632e-22
6.76107275844837e-14,0.1307866447171324,0.46346346346346345,0.0,0.0,0.0,0.07307307187176518,0.0,1.2903640703927717e-13,6.4127436311971975e-18,1.05902804520554e-18,3.229864101801427e-15,1.7544706440162277e-21,8.973477446094178e-14,4.3195718772053635e-20,0.0,0.46346346346346345,3.887214012097912e-12,8.171781057173687e-10,8.172306833793405e-10,7.603553308379861e-10,2.187165203467097e-12,1.6875611255155354e-12,3.3454055309090983e-16,3.54829268025435e-21,1.0854937579132e-22,4.115032666571772e-28,9.06934480727933e-22
1.1464428414253148e-13,0.13078664482646224,0.46346346346346345,0.0,0.0,0.0,0.0730730710360726,0.0,3.705475935462404e-13,1.8416325987893268e-17,3.0411127129781636e-18,9.274905456344849e-15,8.766872963204097e-21,2.5768280906514e-13,1.240443440092204e-19,0.0,0.46346346346346345,6.605479973310241e-12,1.3856137544762983e-09,1.385764742642655e-09,1.2891896092369576e-09,3.708524345688352e-12,2.8611256090759624e-12,9.606280686284481e-16,1.1463612528667758e-20,6.29498538116806e-22,2.718818519275072e-27,4.4309072362027085e-21
2.0871139725862705e-13,0.13078664504517226,0.46346346346346345,0.0,0.0,0.0,0.07307306936468752,0.0,1.2274263448278604e-12,6.101133396083975e-17,1.0073265398435876e-17,3.0721869825161373e-14,5.434036597922481e-20,8.535371293095034e-13,4.109014572665505e-19,0.0,0.4634634634634634,1.2076797730457619e-11,2.5223959514824047e-09,2.5228961180309442e-09,2.346590534829621e-09,6.7508796984825475e-12,5.207290933297182e-12,3.1816747153966154e-15,4.1101199422155457e-20,4.3179201288855716e-21,2.0288509790700196e-26,2.6250929803124272e-20
