Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133)
7.0134432140727075e-15,0.13078664457629818,0.46346346346346345,0.0,0.0,0.0,0.07307307294845818,1.068140737562308e-33,1.6747852854375056e-15,8.322601999459682e-20,1.374556607556037e-20,4.1922515833228257e-17,3.1111296896869863e-24,1.1647093104242834e-15,5.606756768435948e-22,0.0,0.46346346346346345,4.021716160659574e-13,8.477085066567195e-11,8.47715632593422e-11,7.88819990432806e-11,2.268919165298198e-13,1.7508499123109653e-13,4.342369787724808e-18,1.5625848285344905e-23,6.273810885295403e-26,8.428174681932185e-32,1.6485475406423084e-24,1.3358465536829758e-25,3.223925730175729e-32,9.526685896834033e-17,3.0192400247854214e-17,1.085230553221188e-22,4.357222706744712e-25,4.718582182396667e-21,4.586252836120238e-28,4.1429099771209653e-57,2.047273181151938e-62,3.3135504234639394e-41
1.0520170766488619e-14,0.13078664458444744,0.46346346346346345,0.0,0.0,0.0,0.07307307288615061,3.735342582530638e-33,3.4674221277496566e-15,1.7230918254717444e-19,2.845836718903974e-20,8.679551529221792e-17,8.4974406497188e-24,2.411374581046575e-15,1.1608304789784906e-21,0.0,0.46346346346346345,6.03363566944819e-13,1.2715610329831872e-10,1.2715757863175264e-10,1.1832232718275663e-10,3.403371398242823e-13,2.6262490016876165e-13,8.990262367813476e-18,4.003313756300335e-23,2.0813696135803626e-25,3.326815625715599e-31,4.4974812108076534e-24,3.6436208739429415e-25,1.1258049953649353e-31,1.97236721967656e-16,6.250943904048042e-17,2.7803534239565093e-22,1.4455370442061697e-24,9.719381688826631e-21,1.252648729446345e-27,5.732663972048667e-56,3.162514342094799e-61,1.4489856107378813e-40
1.402689831890453e-14,0.13078664459259676,0.46346346346346345,0.0,0.0,0.0,0.07307307282384305,9.333607629073893e-33,5.897162043006351e-15,2.9305315416530833e-19,4.840008282686651e-20,1.4761683287543586e-16,1.7779447531045202e-23,4.101102247705955e-15,1.9743045128914882e-21,0.0,0.46346346346346345,8.046260838042869e-13,1.6954119281864742e-10,1.6954370197164037e-10,1.577621629442792e-10,4.5378174464540646e-13,3.501629849484578e-13,1.5289976819362687e-17,7.923993481457688e-23,4.983607795591785e-25,8.954097505257778e-31,9.400570638132393e-24,7.614454529668978e-25,2.8097546219756453e-31,3.3544594867641126e-16,1.0631201399963404e-16,5.503339385371885e-22,3.461188813509369e-24,1.6449963476459376e-20,2.62096105483988e-27,2.6312605753516315e-55,1.603698586708831e-60,4.2184516425346544e-40
1.7533625871320444e-14,0.13078664460074618,0.46346346346346345,0.0,0.0,0.0,0.07307307276153549,1.980227090869943e-32,9.009506479193356e-15,4.477195018668345e-19,7.394415002223422e-20,2.2552574569440937e-16,3.23667242766623e-23,6.265534141662299e-15,3.016346437474398e-21,0.0,0.46346346346346345,1.005964207224718e-12,2.1192610757639855e-10,2.1192994099027618e-10,1.9720147116409842e-10,5.672256868218245e-13,4.376991153136004e-13,2.3359464016566343e-17,1.3658749648545044e-22,1.0138028742568152e-24,2.0098427762733118e-30,1.7095509969780736e-23,1.3844840947540851e-24,5.954070942078695e-31,5.124823163294555e-16,1.6242045746579063e-16,9.486259779206365e-22,7.04103339680516e-24,2.5007324986733438e-20,4.771360396527616e-27,9.695747549359267e-55,6.305382975106152e-60,1.0234303610413875e-39
2.4547080976152267e-14,0.13078664461704534,0.46346346346346345,0.0,0.0,0.0,0.07307307263692037,7.254938716566538e-32,1.7324846082368445e-14,8.609506785002746e-19,1.421908608039206e-19,4.336804514505762e-16,8.54570770466552e-23,1.204829161638774e-14,5.800567278400389e-21,0.0,0.46346346346346345,1.4088720239512228e-12,2.9669540183080325e-10,2.9670277332537076e-10,2.760784718828892e-10,7.941115416529652e-13,6.12765390309132e-13,4.4918682581709893e-17,3.1645714881645366e-22,3.290746726759572e-24,8.00024132819603e-30,4.5008904285238433e-23,3.643382951096172e-24,2.1729577729403398e-30,9.854702956994904e-16,3.1232754561242204e-16,2.1978797264954902e-21,2.2855031461758942e-23,4.7542009714503933e-20,1.2597800035774498e-26,1.1794149096507645e-53,1.1159224313670454e-58,5.278611882347358e-39
3.156053608098409e-14,0.13078664463334483,0.46346346346346345,0.0,0.0,0.0,0.07307307251230524,1.8838614400316937e-31,2.841251516421938e-14,1.4119598214900175e-18,2.3319083207108107e-19,7.112386060233612e-16,1.7717272525374795e-22,1.9758991799984192e-14,9.513290223184816e-21,0.0,0.46346346346346345,1.8120869213075738e-12,3.814639862911169e-10,3.8147607548273144e-10,3.5495333006735426e-10,1.0209947052127294e-12,7.878237280013125e-13,7.366535366039182e-17,5.873851877709117e-22,7.777554189388936e-24,2.1361397098567154e-29,9.307526933087095e-23,7.531331766820276e-24,5.624608674972677e-30,1.6161445713222082e-15,5.122144527999867e-16,4.079591924519878e-21,5.401747200745503e-23,7.711131698692525e-20,2.6118392752868966e-26,5.855296231542938e-53,6.267400992705806e-58,1.6959380807620893e-38
4.558744629064774e-14,0.13078664466594497,0.46346346346346345,0.0,0.0,0.0,0.07307307226307501,8.35032561964223e-31,5.890338089854123e-14,2.9272579066898204e-18,4.834381545178542e-19,1.4745413862051862e-15,5.323441852380819e-22,4.096313671661896e-14,1.972436005708074e-20,0.0,0.46346346346346345,2.6194378360193753e-12,5.509990261593444e-10,5.510240890320166e-10,5.126966200380376e-10,1.4747529599144483e-12,1.137916596817815e-12,1.5271631530148128e-16,1.4240212138124533e-21,2.810716136992798e-23,9.20824155355641e-29,2.779829431577923e-22,2.2475988906202234e-23,2.4728960159741844e-29,3.350448552694385e-15,1.0619041618970432e-15,9.890562277340383e-21,1.9521706444912266e-22,1.5616538923700098e-19,7.847819023582894e-26,8.784881292621265e-52,1.2473756593642583e-56,1.126386965447854e-37
7.364126670997503e-14,0.13078664473114987,0.46346346346346345,0.0,0.0,0.0,0.07307307176461453,6.158776234651275e-30,1.5314508614460954e-13,7.610985955428408e-18,1.256902138521088e-18,3.83392017788337e-15,2.2886357546990808e-21,1.0650048433154617e-13,5.1291816334682984e-20,0.0,0.46346346346346345,4.237824165266436e-12,8.900605899495859e-10,8.90125752805285e-10,8.281574965240862e-10,2.3822371815805285e-12,1.8380071217455763e-12,3.970371749475304e-16,4.309939084336733e-21,1.4602469086299433e-22,5.692788500031294e-28,1.1793848729984654e-21,9.525377116945303e-23,1.791047422753263e-28,8.710625879863097e-15,2.760927186147727e-15,2.9936370235689906e-20,1.014258367612818e-21,3.870524761174626e-19,3.3740262607074575e-25,2.9866083760637104e-50,5.6081107459147044e-55,1.4569074820914556e-36
1.2974890754862961e-13,0.1307866448615778,0.46346346346346345,0.0,0.0,0.0,0.07307307076769357,6.509571440918259e-29,4.746521256671246e-13,2.3591121908278797e-17,3.895552579845502e-18,1.1884008196463477e-14,1.288659141565201e-20,3.300765859465438e-13,1.5902686050800281e-19,0.0,0.46346346346346345,7.489335094296291e-12,1.5681496556175356e-09,1.5683516250901192e-09,1.458976452178019e-09,4.197076488622245e-12,3.237807427549476e-12,1.2304641769204828e-15,1.4986472950461342e-20,9.511881684121027e-22,4.2058778603208436e-27,6.461905741560952e-21,5.219620850059607e-22,1.827130029928773e-27,2.6995275396866733e-14,8.557405776277113e-15,1.0410619470022369e-19,6.607447170275646e-21,1.092952076965693e-18,1.8999487996477033e-24,1.7644183320722643e-48,4.0082797955645973e-53,2.8721086184162784e-35
2.419641892259388e-13,0.13078664512250635,0.46346346346346345,0.0,0.0,0.0,0.07307306877385171,8.422986160600535e-28,1.649639298192691e-12,8.200373902417586e-17,1.353857633540353e-17,4.1311504674656335e-14,8.555831826827775e-20,1.1471219677540125e-12,5.530002354562869e-19,0.0,0.4634634634634634,1.4051313111896978e-11,2.9241915521169e-09,2.924893534380522e-09,2.7202032994017962e-09,7.826238666416598e-12,6.035885890378401e-12,4.27576005756765e-15,5.598106200017707e-20,6.919431993035439e-21,3.298115412493428e-26,4.067239504613939e-20,3.3114296686311446e-21,2.2214390584592853e-26,9.3806418231142e-14,2.974311359700588e-14,3.8897177365480177e-19,4.807602721648334e-20,3.208621592368956e-18,1.2616251599188026e-23,1.4122530127532241e-46,3.5918687790148517e-51,6.901330105156568e-34
