Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80)
1.2839308487225799e-14,0.13078664458983688,0.46346346346346345,0.0,0.0,0.0,0.07307307284494416,0.0,4.940872088702536e-15,2.4553093125822945e-19,4.0551484214775745e-20,1.236785094625882e-16,1.3635061238664614e-23,3.4360508653632635e-15,1.6539686737381757e-21,0.0,0.46346346346346345,7.364516554251479e-13,1.5518707470386712e-10,1.5518917695476182e-10,1.4440555465597617e-10,4.1536267646891943e-13,3.2051768228545116e-13,1.2810563051755828e-17,6.247366005641496e-23,3.585027450248866e-25,6.053395785017565e-31,7.213158160737094e-24,3.801132259830264e-25,1.2828341849953049e-31,2.8105014305051696e-16,8.907230833668402e-17,4.357197003312575e-22
1.604913833003872e-14,0.1307866445972963,0.46346346346346345,0.0,0.0,0.0,0.07307307278791188,0.0,7.548517431145228e-15,3.751161758748613e-19,6.195332227772208e-20,1.8895317056622938e-16,2.482205214573187e-23,5.249491489214545e-15,2.526885645274111e-21,0.0,0.46346346346346345,9.207167357362525e-13,1.9398352490149576e-10,1.9398673666213807e-10,1.8050591325853387e-10,5.192021013185721e-13,4.0064324123019334e-13,1.9571518409741606e-17,1.0807023954502202e-22,7.313257743243701e-25,1.3659075638766022e-30,1.3118718691840007e-23,6.919792906949412e-25,2.721010986388523e-31,4.2937859537309067e-16,1.3608214633362667e-16,7.541468187294128e-22
2.2468798015664565e-14,0.13078664461221537,0.46346346346346345,0.0,0.0,0.0,0.07307307267384731,0.0,1.4515443272592168e-14,7.213366230366203e-19,1.1913318820920305e-19,3.6335170997802906e-16,6.553710525745005e-23,1.0094503178143193e-14,4.859088683251893e-21,0.0,0.46346346346346345,1.289440914048677e-12,2.715759768387451e-10,2.715821529220498e-10,2.5270527674252673e-10,7.268792505998617e-13,5.608893439840149e-13,3.763476757948992e-17,2.5225652632564333e-22,2.3907342822918995e-24,5.519343445860354e-30,3.45470841015335e-23,1.8270123539931127e-24,9.961029684188762e-31,8.256683137344568e-16,2.6168018426174394e-16,1.7623837602368727e-21
2.8888457701290407e-14,0.13078664462713477,0.46346346346346345,0.0,0.0,0.0,0.07307307255978275,0.0,2.3805145973369117e-14,1.182992468306629e-18,1.9537673441043837e-19,5.958981229813106e-16,1.3587399472322123e-22,1.655482496715546e-14,7.968855496427472e-21,0.0,0.46346346346346345,1.658422375638524e-12,3.491678340886738e-10,3.4917796281850884e-10,3.249028451155323e-10,9.345541450193265e-13,7.211287964668902e-13,6.172002087106301e-17,4.70962178123338e-22,5.679761137829148e-24,1.489013682793942e-29,7.145632565467652e-23,3.787822084492273e-24,2.5848535096324613e-30,1.3540753908701835e-15,4.291533389068363e-16,3.293411908272543e-21
4.1727777072542095e-14,0.13078664465697454,0.46346346346346345,0.0,0.0,0.0,0.07307307233165364,0.0,4.935167869908246e-14,2.4525647437671012e-18,4.050446762827801e-19,1.2354132767941885e-15,4.082560232034038e-22,3.43205101891861e-14,1.6520693717737572e-20,0.0,0.46346346346346345,2.397157045989254e-12,5.043497648007728e-10,5.043707633289172e-10,4.692925975165712e-10,1.3498971704241079e-12,1.0415877549541724e-12,1.2795268738619865e-16,1.1523628847577383e-21,2.071773318415629e-23,6.543771689245908e-29,2.135221137755127e-22,1.1381086237467627e-23,1.1437928721892554e-29,2.8071575621621045e-15,8.897054273891475e-16,8.070422758771674e-21
6.740641581504547e-14,0.1307866447166578,0.46346346346346345,0.0,0.0,0.0,0.0730730718753954,0.0,1.2831159650647581e-13,6.37676044398017e-18,1.0530883295043385e-18,3.2121481370613696e-15,1.7551656649685734e-21,8.923056160261604e-14,4.295313707948363e-20,0.0,0.46346346346346345,3.8777133885380616e-12,8.14706491280643e-10,8.147610870144497e-10,7.580505665924101e-10,2.1805561689980675e-12,1.6824258964718612e-12,3.326577516671048e-16,3.5261413574258144e-21,1.0891853666397266e-22,4.144070957173488e-28,9.06894173774736e-22,4.8928862240180876e-23,8.402764502869514e-29,7.298199388120052e-15,2.3132171650946616e-15,2.4739774495418778e-20
1.1876369330005222e-13,0.1307866448360396,0.46346346346346345,0.0,0.0,0.0,0.07307307096287893,0.0,3.9768628891987024e-13,1.9765469406153918e-17,3.2638872882637033e-18,9.956580292505682e-15,9.88285294232689e-21,2.765539647638372e-13,1.3312972359815594e-19,0.0,0.46346346346346345,6.8511742804241555e-12,1.4353914059188571e-09,1.4355606235276859e-09,1.3354803745558908e-09,3.841765968521179e-12,2.963783159788249e-12,1.0309572041698976e-15,1.2378962419538064e-20,7.1717477161146705e-22,3.1264599554097568e-27,4.979982402045081e-21,2.755000034282449e-22,8.80812358533533e-28,2.261826803459582e-14,7.16976189382098e-15,8.699724828405903e-20
2.2147824827006573e-13,0.13078664507486418,0.46346346346346345,0.0,0.0,0.0,0.07307306913784603,0.0,1.3821619431126438e-12,6.870540273239233e-17,1.1343436470955916e-17,3.4610617665863776e-14,6.561638115264393e-20,9.611277084757048e-13,4.627051612416137e-19,0.0,0.4634634634634634,1.2847491247851136e-11,2.6766470917445247e-09,2.6772352422021273e-09,2.48999556576882e-09,7.163752860596742e-12,5.525222242257155e-12,3.582576986491267e-15,4.654169768033385e-20,5.256615251691252e-21,2.4865072152894526e-26,3.147699875732957e-20,1.8290974646810263e-21,1.1209897695397853e-26,7.859858161540541e-14,2.4920195482792144e-14,3.275061687963683e-19
3.2419280324007924e-13,0.13078664531377002,0.46346346346346345,0.0,0.0,0.0,0.07307306731281316,0.0,2.9608180033616874e-12,1.4719699777740992e-16,2.429908789997871e-17,7.415328754088507e-14,1.9714706423226364e-19,2.0588249870973165e-12,9.912116973082924e-19,0.0,0.46346346346346334,1.8909671570037163e-11,3.9177505990624435e-09,3.919010574203155e-09,3.6440516491461004e-09,1.0485162918791279e-11,8.08496155994318e-12,7.673525437479416e-15,1.0263881908950127e-19,1.6309639720427243e-20,7.914832867034188e-26,9.145820624472851e-20,5.4954709242376885e-21,4.460630390167636e-26,1.683504607535121e-13,5.338612677908837e-14,7.226733283418275e-19
4.2690735821009275e-13,0.13078664555275704,0.46346346346346345,0.0,0.0,0.0,0.07307306548778031,0.0,5.133485235454282e-12,2.552425557306874e-16,4.212921425769548e-17,1.2858701740845368e-13,4.368226940255611e-19,3.5694889541469995e-12,1.7186048027661096e-18,0.0,0.4634634634634633,2.5037719608584536e-11,5.15870194565371e-09,5.160886599717522e-09,4.797648799307976e-09,1.3805996294855469e-11,1.0643002267852381e-11,1.3302826656854198e-14,1.8065552113015587e-19,3.6785198017369415e-20,1.8104819274622774e-25,1.9642827423103352e-19,1.2176162281161438e-20,1.213745412896201e-25,2.918524962694538e-13,9.256621627986377e-14,1.2724731510586848e-18
