Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37)
5.991179133953894e-15,0.13078664457392256,0.46346346346346345,0.0,0.0,0.0,0.07307307296662174,0.0,1.2221430992599075e-15,6.073247698529051e-20,1.003056105255557e-20,3.059157260909497e-17,1.9393689515469993e-24,8.499218722115377e-16,4.0911471505386524e-22,0.0,0.46346346346346345,3.4350718264610453e-13,7.24149127204669e-11,7.241541068595446e-11,6.738456278145001e-11,1.938208515028256e-13,1.4956593201690218e-13,3.168773422836278e-18,1.0075089969570044e-23,3.445979738710746e-26,4.096326282952272e-32,1.0282535082259458e-24,3.56199862094045e-26
8.986773779724932e-15,0.130786644580884,0.46346346346346345,0.0,0.0,0.0,0.073073072913396,0.0,2.530287800952922e-15,1.2573906731477222e-19,2.0766951626956778e-20,6.333581125281679e-17,5.2970094569937236e-24,1.7596508830448628e-15,8.470190737189814e-22,0.0,0.46346346346346345,5.153259028940648e-13,1.0862226437400431e-10,1.0862329534774733e-10,1.0107640221956709e-10,2.9073076487072397e-13,2.2434722712061958e-13,6.560507990142484e-18,2.6012152284648357e-23,1.1505577139444897e-25,1.6372660594823821e-31,2.805689000099519e-24,9.728886021224234e-26
1.198236842549597e-14,0.13078664458784542,0.46346346346346345,0.0,0.0,0.0,0.07307307286017026,0.0,4.30334866821983e-15,2.1384946096153655e-19,3.5319052609546174e-20,1.0771734483781651e-16,1.1083096718617668e-23,2.9926972657050314e-15,1.4405555847819875e-21,0.0,0.46346346346346345,6.871878673565585e-13,1.4482950524986034e-10,1.4483125866476064e-10,1.347679087975637e-10,3.8764022691769625e-13,2.9912732325640725e-13,1.1157646757683282e-17,5.182513673585277e-23,2.7689078712380413e-25,4.448722754324584e-31,5.865266145457796e-24,2.0356010758839955e-25
1.4977963071267007e-14,0.13078664459480696,0.46346346346346345,0.0,0.0,0.0,0.07307307280694451,0.0,6.5745305865208014e-15,3.267139796331744e-19,5.395937790146274e-20,1.645672970546571e-16,2.0176315803249207e-23,4.572151952438449e-15,2.200839932892467e-21,0.0,0.46346346346346345,8.590961648639746e-13,1.8103662743567846e-10,1.8103930625482056e-10,1.6845905874296992e-10,4.845492054096616e-13,3.739061348042218e-13,1.7046269197326462e-17,8.988903080990204e-23,5.66019066013419e-25,1.007771865666825e-30,1.0667924196461252e-23,3.705719984219278e-25
2.0969152362809082e-14,0.1307866446087302,0.46346346346346345,0.0,0.0,0.0,0.07307307270049301,0.0,1.2642523522400596e-14,6.282606413912759e-19,1.037612501633236e-19,3.164548942727603e-16,5.327112344709631e-23,8.792024140676106e-15,4.232120186903766e-21,0.0,0.46346346346346345,1.203054669101029e-12,2.5345050828405253e-10,2.5345565954488644e-10,2.3584026635647025e-10,6.783656813756553e-13,5.234598235846609e-13,3.277895123088171e-17,2.1101221738614143e-22,1.860328388426685e-24,4.119016023033473e-30,2.809772753073788e-23,9.784090541873963e-25
3.295153094589323e-14,0.13078664463657752,0.46346346346346345,0.0,0.0,0.0,0.07307307248759003,0.0,3.084357017086731e-14,1.5327715571220942e-18,2.5314213168509704e-19,7.72042301763892e-16,2.0598819362892926e-22,2.1449541500557974e-14,1.0324997932135713e-20,0.0,0.46346346346346345,1.8915358411012244e-12,3.9827682479411125e-10,3.9828939223466446e-10,3.705983393219656e-10,1.065992745589153e-12,8.225515609290217e-13,7.99685352744707e-17,6.519154743357816e-22,9.47358032047466e-24,2.747158053922061e-29,1.0804520935687272e-22,3.783261683587041e-24
4.493390952897738e-14,0.13078664466442594,0.46346346346346345,0.0,0.0,0.0,0.07307307227468704,0.0,5.713813822264602e-14,2.839520762421393e-18,4.689476576206674e-19,1.4302141651754467e-15,5.11205685212752e-22,3.973542511336404e-14,1.9127245707049438e-20,0.0,0.46346346346346345,2.580769875673111e-12,5.431012127494401e-10,5.43124494225743e-10,5.053506177983854e-10,1.453611952926029e-12,1.1216224277993155e-12,1.4814074921465516e-16,1.3736514600466229e-21,2.690562725709441e-23,8.7980801786413e-29,2.6694794750484924e-22,9.388932764367915e-24
6.889866669514568e-14,0.130786644720126,0.46346346346346345,0.0,0.0,0.0,0.07307307184888107,0.0,1.3399917786080194e-13,6.6593900791008414e-18,1.0997580794619301e-18,3.3540841498394253e-15,1.856654629144827e-21,9.318595615304499e-14,4.485704839585133e-20,0.0,0.46346346346346345,3.961495835308076e-12,8.327442048714001e-10,8.327988047148127e-10,7.748377978035068e-10,2.228826805304934e-12,1.7197015770658502e-12,3.474065012426968e-16,3.704051976340324e-21,1.1557896785367553e-22,4.405371386634044e-28,9.592342358272448e-22,3.409915749726431e-23
1.1682818102748228e-13,0.13078664483153915,0.46346346346346345,0.0,0.0,0.0,0.07307307099726912,0.0,3.847985850820218e-13,1.9124658521263605e-17,3.1580695249751433e-18,9.631605140238429e-15,9.27746338359298e-21,2.6759290793430834e-13,1.2881505958869593e-19,0.0,0.46346346346346345,6.731979058510068e-12,1.4120070551983424e-09,1.41216385042034e-09,1.3137426594433992e-09,3.7791622704024235e-12,2.915609593974521e-12,9.975703817167614e-16,1.1943237903976346e-20,6.687735535156234e-22,2.8979838078330325e-27,4.6844779083705696e-21,1.7038250510129968e-22
2.1268720969215549e-13,0.1307866450544177,0.46346346346346345,0.0,0.0,0.0,0.07307306929404525,0.0,1.2746298506184505e-12,6.335799998817443e-17,1.0460642524493621e-17,3.190331012936017e-14,5.75050644024201e-20,8.863606562041335e-13,4.2670399142716253e-19,0.0,0.4634634634634634,1.2309069219151796e-11,2.570440228694187e-09,2.5709596312924583e-09,2.3912744608878516e-09,6.8794563128078854e-12,5.306424939852026e-12,3.3040164911268364e-15,4.2759479427260126e-20,4.579595260134848e-21,2.155692948198482e-26,2.7730835505454544e-20,1.0560099061700713e-21
