Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18)
1e-11,0.13078667079877573,0.46346346346346345,0.0,0.0,0.0,0.07307289539312042,0.0,2.7927153352287835e-09,1.4039551923030338e-13,2.2856070603308004e-14,6.971478952729536e-11,5.167504380451491e-15,1.9291709659565173e-09,9.366589427781083e-16,0.0,0.4634634634633898,8.349520170918708e-10,1.2020077573784575e-07,1.2134343483629973e-07,1.1048088383608774e-07,3.208020878137019e-10,2.4969628000290666e-10
1.1093195970941533e-11,0.13078667079877573,0.46346346346346345,0.0,0.0,0.0,0.07307287596923162,0.0,3.4333411118484495e-09,1.7281878929639705e-13,2.8090400219884893e-14,8.568128309046125e-11,7.0473874913536324e-15,2.370935823375748e-09,1.1517611099340903e-15,0.0,0.4634634634633748,9.579349668902522e-10,1.3326028758801083e-07,1.346656993995869e-07,1.2232003993770807e-07,3.555467366575711e-10,2.76999861362989e-10
1.3798466912455531e-11,0.13078667733543647,0.46346346346346345,0.0,0.0,0.0,0.0730728279020278,0.0,5.299316373417749e-09,2.675754629241084e-13,4.3324125045922194e-14,1.3215057415865434e-10,1.3530225268402986e-14,3.6565648830162966e-09,1.7786450977468053e-15,0.0,0.46346346346333356,1.2890985230069635e-09,1.655098239798634e-07,1.6768148300222403e-07,1.514189023588883e-07,4.412552516108278e-10,3.4457352947502976e-10
1.650373785396953e-11,0.13078668392536155,0.46346346346346345,0.0,0.0,0.0,0.07307277983483319,0.0,7.562748205090561e-09,3.830498622374693e-13,6.178159885977803e-14,1.8845561837394693e-10,2.3094848335549853e-14,5.214152087507588e-09,2.5396428419502403e-15,0.0,0.4634634634632877,1.6584435482734857e-09,1.976625814581314e-07,2.007652437546124e-07,1.8023673815120767e-07,5.265784984449541e-10,4.121579955634284e-10
1.9209008795483526e-11,0.13078669056816492,0.46346346346346345,0.0,0.0,0.0,0.07307273176764566,0.0,1.0220778700095108e-08,5.192849006941016e-13,8.343218325576635e-14,2.5450347708449455e-10,3.6327882506387105e-14,7.041070349600013e-09,3.4339984655107315e-15,0.0,0.46346346346323875,2.0659363134323784e-09,2.2971885038616227e-07,2.3391663229233252e-07,2.0877626322309452e-07,6.115193921843032e-10,4.797542512474221e-10
2.1914279736997524e-11,0.13078669726346423,0.46346346346346345,0.0,0.0,0.0,0.07307268370046305,0.0,1.3270575913194694e-08,6.763232821254574e-13,1.0824555940712925e-13,3.3020210645865404e-10,5.381028947090371e-14,9.134717981077183e-09,4.460962235197921e-15,0.0,0.4634634634631884,2.5115436653662093e-09,2.61678920255753e-07,2.671353004261157e-07,2.3704016722145463e-07,6.960808321573995e-10,5.473632865259313e-10
2.4619550678511522e-11,0.1307867040108805,0.46346346346346345,0.0,0.0,0.0,0.07307263563328328,0.0,1.670933360308588e-08,8.542075016994936e-13,1.3619172473743663e-13,4.1546034852828107e-10,7.611742406834807e-14,1.1492518436841676e-08,5.619790503032167e-15,0.0,0.4634634634631379,2.99523301932025e-09,2.935430796899938e-07,3.004209011379004e-07,2.650311137963348e-07,7.802657021017824e-10,6.1498608980061e-10
2.732482162002552e-11,0.13078671081003834,0.46346346346346345,0.0,0.0,0.0,0.07307258756610423,0.0,2.053427098302556e-08,1.0529798468639123e-12,1.672409897013577e-13,5.101879225191851e-10,1.0381908971652146e-13,1.4111920067226482e-08,6.909745649568808e-15,0.0,0.463463463463089,3.51697235139894e-09,3.253116164460953e-07,3.33773088576917e-07,2.9275174085707784e-07,8.640768702661767e-10,6.826236478980851e-10
3.2735363503053515e-11,0.13078672456209334,0.46346346346346345,0.0,0.0,0.0,0.07307249143173988,0.0,2.9331687558142445e-08,1.51335703020629e-12,2.385316076667478e-13,7.276942811211071e-10,1.7765777778992882e-13,2.012544335831086e-08,9.880115929953311e-15,0.0,0.46346346346300166,4.6744756168314715e-09,3.8856296863811704e-07,4.006758460494567e-07,3.473924607889453e-07,1.0305894973648e-09,8.17946968115804e-10
3.814590538608151e-11,0.1307867385166931,0.46346346346346345,0.0,0.0,0.0,0.07307239529735314,0.0,3.964107935611853e-08,2.0577890107556337e-12,3.2188604029345475e-13,9.82016164210155e-10,2.797757716234327e-13,2.7155363543938265e-08,1.3366290628202922e-14,0.0,0.463463463462939,5.983808213090558e-09,4.5143526167028013e-07,4.678408292467103e-07,4.009829248078261e-07,1.1956413533520008e-09,9.533411110997893e-10
4.3556447269109506e-11,0.13078675267095413,0.46346346346346345,0.0,0.0,0.0,0.07307229916292719,0.0,5.144109215574419e-08,2.686606699502102e-12,4.1707772665402884e-13,1.2724620598481537e-09,4.1453704898766687e-13,3.518213952593053e-08,1.7362580295866795e-14,0.0,0.4634634634629132,7.444733405375702e-09,5.139307666916996e-07,5.352653130192981e-07,4.5354333448464054e-07,1.3592548364821004e-09,1.0888139169213466e-09
4.89669891521375e-11,0.13078676702204542,0.46346346346346345,0.0,0.0,0.0,0.07307220302844536,0.0,6.471075642204277e-08,3.400137767020881e-12,5.238848228008259e-13,1.5983537057546245e-09,5.86221787188309e-13,4.418660609111828e-08,2.1863386807505494e-14,0.0,0.46346346346293665,9.057022750191594e-09,5.760517412432228e-07,6.029465905527286e-07,5.050935027481489e-07,1.5214521063748084e-09,1.224373202452003e-09
5.4377531035165497e-11,0.13078678156718657,0.46346346346346345,0.0,0.0,0.0,0.07307210689389092,0.0,7.942948003802381e-08,4.198706670506464e-12,6.420901081468535e-13,1.9590258365787567e-09,7.990279786929685e-13,5.414996669130726e-08,2.6863201707410423e-14,0.0,0.46346346346302175,1.0820455876756394e-08,6.378004293390721e-07,6.708819732539253e-07,5.556528613517835e-07,1.682255086999322e-09,1.3600267619997887e-09
