Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112),C6H10(145),C2H2(133),C6H10(157),C6H10(176),C6H10(175)
7.292231017157364e-15,0.13078664457694605,0.46346346346346345,0.0,0.0,0.0,0.07307307294350465,1.2483748197157576e-33,1.8105779880196044e-15,8.997408517758651e-20,1.4860064695891816e-20,4.5321652026828404e-17,3.4970780261496715e-24,1.2591445525256093e-15,6.061372876724123e-22,0.0,0.46346346346346345,4.1816580144452465e-13,8.814051578060344e-11,8.814128615198379e-11,8.201754364776354e-11,2.3591091415305075e-13,1.8204450720053198e-13,4.694449282444661e-18,1.7406252107207836e-23,7.271808211129312e-26,1.0061985224075082e-31,1.8527528587072846e-24,1.5012726571157186e-25,3.7670638794514256e-32,1.0299111039983085e-16,3.2640423575935545e-17,1.2088821043311783e-22,5.050344577504024e-25,5.097923303565417e-21,5.155198360598194e-28,5.440864553061414e-57,2.7699566672292325e-62,4.0259209072511084e-41,5.423631656282332e-64,6.425738093830284e-69,6.84306722468906e-70
1.0938352707447354e-14,0.13078664458541928,0.46346346346346345,0.0,0.0,0.0,0.07307307287872034,4.365630329377552e-33,3.7485625534204345e-15,1.8628022333166117e-19,3.0765783976254e-20,9.383302572889187e-17,9.551581650247971e-24,2.6068896692730147e-15,1.2549557150485552e-21,0.0,0.46346346346346345,6.273634371274906e-13,1.3221058399800471e-10,1.3221217895264487e-10,1.2302558689018816e-10,3.5386556871816026e-13,2.7306395826363424e-13,9.71919032870829e-18,4.4504238245765334e-23,2.408406218245798e-25,3.95869529387062e-31,5.054351366060704e-24,4.0946150120458783e-25,1.3153966764236618e-31,2.1322864693584826e-16,6.757774822748373e-17,3.090879688537505e-22,1.6726692854559084e-24,1.049864253974285e-20,1.408045494495262e-27,7.527602615724604e-56,4.2745842195559396e-61,1.7604304446026355e-40,7.21324893545789e-63,1.037070971029985e-67,1.0092107092491332e-68
1.4584474397737344e-14,0.13078664459389253,0.46346346346346345,0.0,0.0,0.0,0.07307307281393602,1.0908525656687982e-32,6.375306322492155e-15,3.1681427510872563e-19,5.232437540586496e-20,1.595858409332857e-16,1.998505584648179e-23,4.433620348796863e-15,2.134391239935373e-21,0.0,0.46346346346346345,8.366373603797236e-13,1.762804758778566e-10,1.7628318847480068e-10,1.640330978330257e-10,4.718195546642289e-13,3.640814372700476e-13,1.6529679363056165e-17,8.793946344283396e-23,5.7589944719519775e-25,1.0628305159870364e-30,1.0564102599478197e-23,8.556543108647172e-25,3.282781063508972e-31,3.6264376317190254e-16,1.1493185939898474e-16,6.10754153508356e-22,3.9997097896201295e-24,1.7765467494977933e-20,2.9461031671575183e-27,3.454925395339744e-55,2.165459667274899e-60,5.125011555142882e-40,3.394160060453513e-62,5.081280300408236e-67,5.250357688709977e-68
1.8230596088027333e-14,0.13078664460236591,0.46346346346346345,0.0,0.0,0.0,0.0730730727491517,2.314363192840265e-32,9.739999733151901e-15,4.840211821435204e-19,7.993955165162145e-20,2.4381175446936166e-16,3.638193583186195e-23,6.773543682691383e-15,3.2609294820731956e-21,0.0,0.46346346346346345,1.0459930204854853e-12,2.2035017882531721e-10,2.2035432305492308e-10,2.0504003846173843e-10,5.897728242387101e-13,4.550968034040064e-13,2.525342900131755e-17,1.5133869592572772e-22,1.1700537526836957e-24,2.3799283547771133e-30,1.9210669124690625e-23,1.5557040862492273e-24,6.956123882009429e-31,5.54034016030554e-16,1.7558960022294088e-16,1.0510770880868983e-21,8.126230630083913e-24,2.7001911975833457e-20,5.363269284922847e-27,1.2729853178525793e-54,8.506722418003671e-60,1.2433313180003286e-39,1.2781161769727593e-61,2.0305349442583966e-66,2.1197417869509823e-67
2.552283946860731e-14,0.130786644619313,0.46346346346346345,0.0,0.0,0.0,0.07307307261958307,8.479109818301616e-32,1.872954413397515e-14,9.307577518733061e-19,1.5371966478804597e-19,4.688440926651802e-16,9.605831310673612e-23,1.3025162328591397e-14,6.2709207730127545e-21,0.0,0.46346346346346345,1.4649546866584619e-12,3.084890060601561e-10,3.0849697523921286e-10,2.870521729994681e-10,8.256771693149778e-13,6.371210646440363e-13,4.8560619826209634e-17,3.494662834034932e-22,3.785833466561945e-24,9.40968970458758e-30,5.0571993763187534e-23,4.093447756777911e-24,2.5382817717620204e-30,1.065370862193883e-15,3.376511962742847e-16,2.4271410473818112e-21,2.629356613522735e-23,5.131122677428854e-20,1.4160614111067775e-26,1.5480321157979824e-53,1.4967434947822958e-58,6.412049166499139e-39,2.190032943933698e-60,3.6792591871181354e-65,5.436328711617179e-66
3.281508284918729e-14,0.13078664463626047,0.46346346346346345,0.0,0.0,0.0,0.07307307249001443,2.201737125180058e-31,3.0716192807577455e-14,1.5264435927219454e-18,2.5209781392005036e-19,7.689073472254604e-16,1.9915153854641972e-22,2.1361035318599854e-14,1.0284713739505495e-20,0.0,0.46346346346346345,1.8842483321154355e-12,3.9662706595094194e-10,3.9664013533845105e-10,3.69061991292828e-10,1.0615786049164512e-12,8.191367450748675e-13,7.963797856033408e-17,6.469728585060211e-22,8.926973119467053e-24,2.5009049957299024e-29,1.045687560328978e-22,8.46073066121738e-24,6.56943913742668e-30,1.7471782814984254e-15,5.537449530775574e-16,4.493458342037704e-21,6.200064595416654e-23,8.31893229233825e-20,2.9358497277928524e-26,7.684120683635911e-53,8.386614407913472e-58,2.0599148180522284e-38,1.2628385213089743e-59,2.1182262551368583e-64,3.559084234471515e-65
4.739956961034725e-14,0.1307866446701567,0.46346346346346345,0.0,0.0,0.0,0.07307307223087717,9.759327926783071e-31,6.367921111021019e-14,3.1646047725542213e-18,5.226346924143851e-19,1.5941010168708176e-15,5.983827009525274e-22,4.428436126318692e-14,2.132384951056059e-20,0.0,0.46346346346346345,2.7238314294328307e-12,5.729008840582906e-10,5.729279790292403e-10,5.33074680461801e-10,1.5333727492157956e-12,1.1831423693700128e-12,1.6509800638684984e-16,1.562161983947212e-21,3.212923841531857e-23,1.0689643345199077e-28,3.122360437357003e-22,2.5243327391550454e-23,2.8874135953009094e-29,3.6220914038105305e-15,1.1480033843900055e-15,1.0850055628551372e-20,2.231528201058421e-22,1.6832471984631956e-19,8.821376227237913e-26,1.1522413354826451e-51,1.6572703545494147e-56,1.3677805856850659e-37,3.1646886172479996e-58,5.058414773639046e-63,1.2487545517175787e-63
7.656854313266716e-14,0.130786644737954,0.46346346346346345,0.0,0.0,0.0,0.07307307171260263,7.19798439713466e-30,1.6556174116770197e-13,8.228099933947854e-18,1.358808178077992e-18,4.144787937772514e-15,2.572542508902577e-21,1.1513518213736257e-13,5.545145563547949e-20,0.0,0.46346346346346345,4.406980873203313e-12,9.254393138692991e-10,9.255097600857095e-10,8.610722715229715e-10,2.4769261323630212e-12,1.911050686911202e-12,4.2922636422022854e-16,4.705883833810587e-21,1.6606687311825633e-22,6.540445764204786e-28,1.3240261125265479e-21,1.06928621850826e-22,2.0899027066327597e-28,9.416827759073312e-15,2.9847817031187403e-15,3.2686735602014893e-20,1.1534726961529464e-21,4.1645508627359728e-19,3.7925891609640765e-25,3.9133413887559842e-50,7.38033872459948e-55,1.7680870557158523e-36,2.297844802363664e-56,3.373688674096526e-61,1.2862832468537315e-61
1.34906490177307e-13,0.13078664487356828,0.46346346346346345,0.0,0.0,0.0,0.0730730706760536,7.607970153286069e-29,5.131345384894732e-13,2.550395504463494e-17,4.2113803561657856e-18,1.2847627393138811e-14,1.4485137019537463e-20,3.56836869010886e-13,1.719248003701628e-19,0.0,0.46346346346346345,7.78921306738357e-12,1.630479349969076e-09,1.6306976947025046e-09,1.5169563230519261e-09,4.363893293283318e-12,3.366455717673982e-12,1.3302147382197836e-15,1.62974155779953e-20,1.076794048224717e-21,4.7894389011335016e-27,7.246840261408014e-21,5.85444872020122e-22,2.1294960605064444e-27,2.9183715087457735e-14,9.251225600902855e-15,1.1321401636082816e-19,7.480036106037867e-21,1.1721987142674528e-18,2.135645494442185e-24,2.308022776481084e-48,5.228314849679896e-53,3.4814354145574104e-35,2.9917281252933175e-54,4.240695662642909e-59,2.146706431773474e-59
2.515823842665866e-13,0.13078664514487556,0.46346346346346345,0.0,0.0,0.0,0.07307306860295554,9.844242025067841e-28,1.7833746200335243e-12,8.865295288224435e-17,1.4636113946192736e-17,4.466140758563848e-14,9.617098926465723e-20,1.240114044241552e-12,5.978554449116474e-19,0.0,0.4634634634634634,1.4617414143525507e-11,3.0404121424775166e-09,3.0411710379570668e-09,2.828280044435623e-09,8.137269315985496e-12,6.275620291895476e-12,4.622332217951467e-15,6.071384339197015e-20,7.808383660866826e-21,3.733604390055904e-26,4.552351102295526e-20,3.7100810755080316e-21,2.5844284640069776e-26,1.0140991184060172e-13,3.2154561835296533e-14,4.218645077368674e-19,5.425336346409993e-20,3.423440267799573e-18,1.4181344039017387e-23,1.84328030962702e-46,4.651915791037821e-51,8.347263622547671e-34,5.13115584993137e-52,7.204707172646872e-57,4.291590017487277e-57
