Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55)
2.009098899563881e-12,0.13078664924403807,0.46346346346346345,0.0,0.0,0.0,0.07307303737539475,0.0,1.1353599122590146e-10,5.6551340425354196e-15,9.313011446935194e-16,2.8403813722193003e-12,4.2373807900313195e-17,7.890955492817592e-11,3.802101063814997e-17,0.0,0.4634634634634599,1.257314206385473e-10,2.4256837582242544e-08,2.4303137056708416e-08,2.251598372259014e-08,6.488660189582929e-11,4.986481433650516e-11,2.937649624899082e-13
2.355215535254061e-12,0.1307866500540535,0.46346346346346345,0.0,0.0,0.0,0.07307303122559386,0.0,1.5597580755308667e-10,7.77214907765321e-15,1.2792965100675022e-15,3.901749855339934e-12,6.823610660731659e-17,1.083947302152129e-10,5.223675688928329e-17,0.0,0.46346346346345857,1.4952717651935398e-10,2.8430209369257873e-08,2.8493824848319313e-08,2.637855473519109e-08,7.604269683974264e-11,5.839655277219585e-11,4.034294871316665e-13
3.0474488066344203e-12,0.13078665167678796,0.46346346346346345,0.0,0.0,0.0,0.07307301892599298,0.0,2.6097507605414594e-10,1.3014631374909506e-14,2.1400691495386645e-15,6.52708643532081e-12,1.4771618402444415e-16,1.8132585134920743e-10,8.741293573576029e-17,0.0,0.46346346346345546,1.990009201948791e-10,3.677214023699556e-08,3.687861105949112e-08,3.408932369819569e-08,9.833534850637646e-11,7.540860044272548e-11,6.74524270429677e-13
3.73968207801478e-12,0.1307866533031216,0.46346346346346345,0.0,0.0,0.0,0.07307300662639327,0.0,3.9275893003519114e-10,1.9602329180788744e-14,3.220102330119937e-15,9.821199795908137e-12,2.7279574081766315e-16,2.728327643598605e-10,1.315710761937105e-16,0.0,0.46346346346345163,2.5098379741543857e-10,4.5107658271940165e-08,4.5267939822550984e-08,4.178096821246992e-08,1.2060198754112702e-10,9.2352324276758e-11,1.0144089610220935e-12
4.43191534939514e-12,0.13078665493304784,0.46346346346346345,0.0,0.0,0.0,0.07307299432679464,0.0,5.51277545509758e-10,2.7535976927448274e-14,4.518858790606865e-15,1.3782465846006155e-11,4.537652404604687e-16,3.828692773523645e-10,1.8469805509066818e-16,0.0,0.4634634634634472,3.054751995725935e-10,5.343676840283687e-08,5.366180519791648e-08,4.945353574625824e-08,1.428426599099548e-10,1.0922802136705211e-10,1.4228072821839632e-12
5.1241486207754995e-12,0.13078665656655974,0.46346346346346345,0.0,0.0,0.0,0.07307298202719713,0.0,7.364812136878548e-10,3.6816308165981797e-14,6.035802697338469e-15,1.8409264469057978e-11,7.008897885326814e-16,5.113893126438044e-10,2.467807763602737e-16,0.0,0.463463463463442,3.624745206962095e-10,6.175947555494052e-08,6.20602012507693e-08,5.710707365095692e-08,1.6505741153349986e-10,1.2603598757563013e-10,1.8994441647618703e-12
5.816381892155859e-12,0.1307866582036507,0.46346346346346345,0.0,0.0,0.0,0.07307296972760065,0.0,9.483203443503486e-10,4.7444055510043225e-14,7.770399679087998e-15,2.369997963139592e-11,1.0244084492801736e-15,6.583469098321363e-10,3.178061719567441e-16,0.0,0.4634634634634363,4.219811574851436e-10,7.007578464961943e-08,7.046312205152902e-08,6.474162915795463e-08,1.8724628828343724e-10,1.4277651751961968e-10,2.4440457597924854e-12
7.200848434916578e-12,0.13078666148854287,0.46346346346346345,0.0,0.0,0.0,0.07307294512841074,0.0,1.4517071885869224e-09,7.274472454216361e-14,1.189042223864196e-14,3.626671459044061e-11,1.941462228316577e-15,1.0073914983491415e-09,4.866328455171356e-16,0.0,0.4634634634634231,5.485139773305558e-10,8.668922833370321e-08,8.728251420330245e-08,7.99539813415286e-08,2.3154660041720909e-10,1.7605644127020914e-10,3.736053387300566e-12
8.585314977677298e-12,0.1307866647876706,0.46346346346346345,0.0,0.0,0.0,0.07307292052922457,0.0,2.0610436911617428e-09,1.0344382639779543e-13,1.6874680281617848e-14,5.146982283650875e-11,3.2863264416509085e-15,1.429637668473976e-09,6.910740833577873e-16,0.0,0.46346346346340767,6.850688851203758e-10,1.0327713874897615e-07,1.0411993432038045e-07,9.509096778553098e-08,2.7574396231439964e-10,2.090701251427136e-10,5.2966633003388905e-12
9.969781520438018e-12,0.13078666810098077,0.46346346346346345,0.0,0.0,0.0,0.07307289593004189,0.0,2.775937320034707e-09,1.3954718872213642e-13,2.2718950492269633e-14,6.929652035880142e-11,5.139993601743104e-15,1.92472188036004e-09,9.310263315466495e-16,0.0,0.4634634634633903,8.316411485000392e-10,1.198395551282702e-07,1.2097533515221913e-07,1.1015296210116215e-07,3.1983873920678035e-10,2.418198823052392e-10,7.123727606852698e-12
1e-11,0.13078667142842018,0.46346346346346345,0.0,0.0,0.0,0.07307289539312041,0.0,2.792715354793576e-09,1.4039551962935812e-13,2.2856071135792784e-14,6.97147817006017e-11,5.18673363142965e-15,1.936337525526139e-09,9.366589511820583e-16,0.0,0.4634634634633899,8.34952026805882e-10,1.20200775735678e-07,1.2134343483792887e-07,1.1048088381025586e-07,3.2080004600250135e-10,2.4253177889872157e-10,7.166561938482806e-12
1.1354248063198738e-11,0.13078667142842018,0.46346346346346345,0.0,0.0,0.0,0.07307287133086242,0.0,3.595997365789008e-09,1.810606246666877e-13,2.941903202581078e-14,8.973408590974816e-11,7.583055994436331e-15,2.4922823966715447e-09,1.2063864669889437e-15,0.0,0.46346346346337114,9.88226075973881e-10,1.3637651664440093e-07,1.3784866952922271e-07,1.2514033605503816e-07,3.6383129556624535e-10,2.7430800696431217e-10,9.215117001536816e-12
1.4123181148720175e-11,0.13078667812547612,0.46346346346346345,0.0,0.0,0.0,0.07307282213251191,0.0,5.5500629090582285e-09,2.803408978464023e-13,4.536993707817661e-14,1.38391247349534e-10,1.455775115800711e-14,3.8433943307997905e-09,1.8629200444935563e-15,0.0,0.4634634634633283,1.3314153592881312e-09,1.6937423147930782e-07,1.716489506437965e-07,1.5489270079731784e-07,4.5151120078072237e-10,3.3850844207322913e-10,1.4182445510954604e-11
1.6892114234241615e-11,0.13078668487841902,0.46346346346346345,0.0,0.0,0.0,0.07307277293417078,0.0,7.920150819293755e-09,4.0133086204506476e-13,6.469423445162428e-14,1.9734078275653115e-10,2.484720863804091e-14,5.480115339294688e-09,2.6598583850852136e-15,0.0,0.46346346346328093,1.714600011329957e-09,2.0227059543756193e-07,2.0552040192393219e-07,1.843509995410516e-07,5.387865785318264e-10,4.016894101890491e-10,2.018198092696119e-11
