Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32),C6H10(112)
6.8212575128522256e-15,0.13078664457585157,0.46346346346346345,0.0,0.0,0.0,0.07307307295187289,9.557870493848087e-34,1.584256772684554e-15,7.872731047610578e-20,1.300256656770224e-20,3.965642587912963e-17,2.862316996895578e-24,1.1017524412294986e-15,5.303680255713904e-22,0.0,0.46346346346346345,3.9114617472165647e-13,8.244793099059287e-11,8.24486050657799e-11,7.672047154511161e-11,2.2067455982556215e-13,1.7028735696613037e-13,4.107649841080781e-18,1.446662503052482e-23,5.646318925774364e-26,7.425750259805736e-32,1.5168763204079777e-24,1.229176581732656e-25,2.8852646832967853e-32,9.011735239749081e-17,2.856038415003309e-17,1.0047209259709658e-22,3.9214218194267134e-25,4.4654838549468866e-21,4.219465917103528e-28,3.4114367943542255e-57
1.0231892051739782e-14,0.1307866445837775,0.46346346346346345,0.0,0.0,0.0,0.07307307289127271,3.342436047257321e-33,3.2799950561290676e-15,1.6299515700680236e-19,2.6920088163585275e-20,8.210384396072223e-17,7.817858246432523e-24,2.2810310765652425e-15,1.0980805625784679e-21,0.0,0.46346346346346345,5.868196765458117e-13,1.236717350360168e-10,1.2367313062195308e-10,1.1508007400809459e-10,3.3101114962173736e-13,2.5542859254397077e-13,8.504309631756822e-18,3.711574105922001e-23,1.875397607946015e-25,2.937868025852014e-31,4.138393711593592e-24,3.3527937438824946e-25,1.007582539038213e-31,1.8657542331521419e-16,5.91305648430937e-17,2.577735003633543e-22,1.3024862529681927e-24,9.199322405036922e-21,1.1524677832578442e-27,4.720972944764866e-56
1.3642526590627339e-14,0.13078664459170347,0.46346346346346345,0.0,0.0,0.0,0.07307307283067253,8.351840875640806e-33,5.578398936482175e-15,2.772124103220481e-19,4.578388533291544e-20,1.3963749895713796e-16,1.6357538330004925e-23,3.879423278614288e-15,1.8675805271238023e-21,0.0,0.46346346346346345,7.825599299595712e-13,1.6489538478594935e-10,1.6489775830958538e-10,1.534392107076037e-10,4.413471543750927e-13,3.405681025633684e-13,1.446350688151695e-17,7.35532790068333e-23,4.494610338730296e-25,7.921022078253111e-31,8.650253902826091e-24,7.0069094416730225e-25,2.5147782170687756e-31,3.1731404024930523e-16,1.0056544759163182e-16,5.108388614450105e-22,3.1215709925403513e-24,1.5571816412181357e-20,2.4113489398173232e-27,2.166988748472328e-55
1.7053161129514896e-14,0.1307866445996296,0.46346346346346345,0.0,0.0,0.0,0.07307307277007236,1.7719345361193426e-32,8.52251051500917e-15,4.2351838796916755e-19,6.994721115982976e-20,2.1333508187260593e-16,2.977820167119434e-23,5.926860686447632e-15,2.8532919730038136e-21,0.0,0.46346346346346345,9.783717030745423e-13,2.0611886921985478e-10,2.0612249542314459e-10,1.9179784838043533e-10,5.516825323017303e-13,4.257057638073301e-13,2.209681785532183e-17,1.269288970300972e-22,9.151398240014556e-25,1.7809433358012972e-30,1.573146195578912e-23,1.2740599214774046e-24,5.3291661470688325e-31,4.847811247649758e-16,1.5364102405542545e-16,8.815444627703575e-22,6.355797254123299e-24,2.367553661138676e-20,4.389769486724737e-27,7.985403529630645e-55
2.387443020729001e-14,0.13078664461548206,0.46346346346346345,0.0,0.0,0.0,0.073073072648872,6.491819488622948e-32,1.6388379496038528e-14,8.1441264619e-19,1.345049797556652e-19,4.1023804679368357e-16,7.862268030886733e-23,1.1397043345260003e-14,5.487000586671394e-21,0.0,0.46346346346346345,1.3702143018150856e-12,2.885653317592603e-10,2.885723047972313e-10,2.6851359533816816e-10,7.723513683342822e-13,5.959754240915859e-13,4.249071706475697e-17,2.947734086203174e-22,2.9771825973795228e-24,7.122944596203488e-30,4.1420860572568313e-23,3.353084094825279e-24,1.945097048381239e-30,9.32203097100369e-16,2.9544509985204085e-16,2.0472779988396644e-21,2.0677232413822782e-23,4.5023886852502974e-20,1.1590287457094113e-26,9.715662841320694e-54
3.069569928506512e-14,0.13078664463133488,0.46346346346346345,0.0,0.0,0.0,0.07307307252767165,1.685705304640156e-31,2.6876727542244714e-14,1.3356373417678085e-18,2.2058615320021465e-19,6.727928256145933e-16,1.6300343628151579e-22,1.8690960445552193e-14,8.99901253304706e-21,0.0,0.46346346346346345,1.7623473820969695e-12,3.71011122871274e-10,3.710225585983982e-10,3.452273155688398e-10,9.930176585648962e-13,7.662375760801521e-13,6.968358866053923e-17,5.481463122480834e-22,7.048000260239088e-24,1.9081164481467366e-29,8.566143072851604e-23,6.931781176582843e-24,5.035222015609244e-30,1.5287884447062554e-15,4.845274290123704e-16,3.807058875978009e-21,4.8950438398314923e-23,7.304855206616742e-20,2.402956712451334e-26,4.823944249148411e-53
4.433823744061535e-14,0.13078664466304163,0.46346346346346345,0.0,0.0,0.0,0.07307307228527093,7.471987429041009e-31,5.5719486499966334e-14,2.769026766254602e-18,4.573070562401494e-19,1.3948351054768468e-15,4.897704805034483e-22,3.8748979982120915e-14,1.8658046907290528e-20,0.0,0.46346346346346345,2.5474848717870107e-12,5.359006911243736e-10,5.359243992631768e-10,4.986486769807967e-10,1.4343426029343711e-12,1.1067393601719297e-12,1.4446180995018248e-16,1.3327398880321689e-21,2.5545131223267247e-23,8.275257321504271e-29,2.5588219331911994e-22,2.069030630785829e-23,2.214236864196167e-29,3.1693523576686242e-15,1.0045046137581758e-15,9.256546164719408e-21,1.774222698410426e-22,1.480285178087381e-19,7.220187640334292e-26,7.240282581689937e-52
7.162331375171581e-14,0.13078664472645937,0.46346346346346345,0.0,0.0,0.0,0.0730730718004695,5.510959334274435e-30,1.4486728349695087e-13,7.199577081309317e-18,1.1889644649727394e-18,3.626675590984813e-15,2.1056064703846928e-21,1.0074398887724615e-13,4.851877294704604e-20,0.0,0.46346346346346345,4.121245185168464e-12,8.656717719909079e-10,8.65733412598892e-10,8.054670855790884e-10,2.3169619490920644e-12,1.7876528613146883e-12,3.755775256453457e-16,4.047391557083907e-21,1.3320517042445544e-22,5.1544108032350395e-28,1.0860055285311124e-21,8.771633724448035e-23,1.6044360015077584e-28,8.23982049614518e-15,2.6116905699335995e-15,2.811263931900562e-20,9.252135903098006e-22,3.6733325650436395e-19,3.1041877448218572e-25,2.463226836464543e-50
1.2619346637391672e-13,0.13078664485331204,0.46346346346346345,0.0,0.0,0.0,0.07307307083086666,5.824857630312289e-29,4.4899700006509124e-13,2.2315902322481447e-17,3.684998962118122e-18,1.1241598565786332e-14,1.1856035895368896e-20,3.122362269286444e-13,1.5042844614520046e-19,0.0,0.46346346346346345,7.282707394345458e-12,1.5251817128951802e-09,1.5253727654864292e-09,1.4190066610785617e-09,4.082078484596681e-12,3.1491196937504603e-12,1.1639627397855795e-15,1.4115021001534807e-20,8.705774480177115e-22,3.832791145695133e-27,5.954566867793214e-21,4.80941966773551e-22,1.638103120470439e-27,2.5536292347590498e-14,8.094857734833634e-15,9.805182717731818e-20,6.047446871873371e-21,1.0395938185227709e-18,1.7480001669608973e-24,1.4569377038030405e-48
2.3533377161831857e-13,0.13078664510708626,0.46346346346346345,0.0,0.0,0.0,0.07307306889166099,7.537013717195615e-28,1.5604811974761434e-12,7.757094641708757e-17,1.2806872867430785e-17,3.907825590956523e-14,7.871645922831837e-20,1.0851261196633625e-12,5.230975882969759e-19,0.0,0.4634634634634634,1.366140097238724e-11,2.8440727231805787e-09,2.844736763029552e-09,2.645696960477237e-09,7.611823028540818e-12,5.870613440535259e-12,4.044704909578425e-15,5.2830445939207226e-20,6.347712264780969e-21,3.0185805527030256e-26,3.7530095606691745e-20,3.0535812060983064e-21,1.9941219333811627e-26,8.87372681484525e-14,2.813547161732242e-14,3.670755888080031e-19,4.410321615245655e-20,3.0630889429589204e-18,1.1607269258203566e-23,1.1679759534499584e-46
