Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36),C4H8(23),C[C]CC(80),C4H8(82),[CH2]C[CH2](25),C2H3(32)
6.723104805553244e-15,0.13078664457562345,0.46346346346346345,0.0,0.0,0.0,0.07307307295361688,9.019508902626216e-34,1.5389925026293846e-15,7.647795590293351e-20,1.2631066681923011e-20,3.852338116163854e-17,2.740527136648524e-24,1.0702739939516536e-15,5.152142274937553e-22,0.0,0.46346346346346345,3.855153902437694e-13,8.126157372654956e-11,8.126222854249196e-11,7.561653967810496e-11,2.1749924256776774e-13,1.6783711575328223e-13,3.9902897802080034e-18,1.38957018914126e-23,5.344039485458363e-26,6.950350816426176e-32,1.4524179840585373e-24,1.1769562909198437e-25,2.7229655098196144e-32,8.75425973803652e-17,2.7744375931863807e-17,9.650695576076109e-23,3.7114851121097696e-25,4.338871653997547e-21,4.0399295995709955e-28
1.0084662907586088e-14,0.13078664458343536,0.46346346346346345,0.0,0.0,0.0,0.07307307289388869,3.154168259001725e-33,3.186281482958274e-15,1.583381447451281e-19,2.6150948290949513e-20,7.975800900216239e-17,7.485213427480007e-24,2.2158592896905813e-15,1.0667056787862936e-21,0.0,0.46346346346346345,5.783706355380552e-13,1.2189220474400614e-10,1.2189356045618524e-10,1.134241952242578e-10,3.2624819610549117e-13,2.5175330256755e-13,8.26133302834425e-18,3.567697996194026e-23,1.7760708000792994e-25,2.753036218062089e-31,3.9626003709879824e-24,3.210414064877609e-25,9.509237938393975e-32,1.8124476925922644e-16,5.744112730808335e-17,2.4778105244305537e-22,1.233502260437264e-24,8.939122334705205e-21,1.1034308157670453e-27
1.3446221009618932e-14,0.1307866445912473,0.46346346346346345,0.0,0.0,0.0,0.0730730728341605,7.881410759832297e-33,5.4190173050499246e-15,2.692920394648555e-19,4.447578583323629e-20,1.3564783347445038e-16,1.5661536251259158e-23,3.768583721603048e-15,1.8142186883386755e-21,0.0,0.46346346346346345,7.71290725226888e-13,1.6252268587438643e-10,1.6252499158332662e-10,1.5123139831419426e-10,4.34996581315669e-13,3.356678131232552e-13,1.405027142602257e-17,7.074565735662833e-23,4.258603069089281e-25,7.429340561762253e-31,8.282921628235507e-24,6.709465131757483e-25,2.373404940904553e-31,3.0824807613958445e-16,9.769216351586115e-17,4.913393250944954e-22,2.9576596556009167e-24,1.5132389498299012e-20,2.3087471688498655e-27
1.6807779111651777e-14,0.13078664459905934,0.46346346346346345,0.0,0.0,0.0,0.0730730727744323,1.6721276354073618e-32,8.279012390612222e-15,4.1141783295869297e-19,6.794874035880734e-20,2.072397526436542e-16,2.851116067108262e-23,5.757523826920733e-15,2.7717650183884497e-21,0.0,0.46346346346346345,9.642802911876606e-13,2.0315300641201727e-10,2.0315652900998157e-10,1.890381166349902e-10,5.437443576081446e-13,4.1958052772324257e-13,2.1465493898154036e-17,1.2215524036226398e-22,8.674842119855822e-25,1.6718407541925526e-30,1.5063646245805517e-23,1.2199962584606468e-24,5.0296590764165525e-31,4.70930510967304e-16,1.4925130582731292e-16,8.483901903072648e-22,6.0248189889959445e-24,2.300900499507601e-20,4.2029868514888256e-27
2.3530895315717465e-14,0.1307866446146837,0.46346346346346345,0.0,0.0,0.0,0.07307307265497592,6.126157927734186e-32,1.5920145827153752e-14,7.911436351545839e-19,1.3066203561629571e-19,3.9851685150504405e-16,7.527735014961706e-23,1.1071418861396496e-14,5.330217953387926e-21,0.0,0.46346346346346345,1.3504722169350087e-12,2.844131556252308e-10,2.844199294348202e-10,2.646500685552189e-10,7.612380452229521e-13,5.874004564858112e-13,4.127673203547263e-17,2.8403438663545486e-22,2.8254378205473227e-24,6.703113660365649e-30,3.966407529085019e-23,3.210941541189612e-24,1.8358763915910918e-30,9.055694502359542e-16,2.870038732526582e-16,1.972691548114652e-21,1.9623319423599898e-23,4.376318373066537e-20,1.10971261926318e-26
3.025401151978315e-14,0.13078664463030837,0.46346346346346345,0.0,0.0,0.0,0.07307307253551955,1.5907554051787796e-31,2.61088329523093e-14,1.2974761125229965e-18,2.142838062710243e-19,6.53569949929864e-16,1.5606778990844495e-22,1.815694404623692e-14,8.74187512798304e-21,0.0,0.46346346346346345,1.736946324683842e-12,3.6567265259441984e-10,3.656837615891261e-10,3.402600516521938e-10,9.787292597706931e-13,7.552130914576813e-13,6.769270150928383e-17,5.2868282982944055e-22,6.69446266967035e-24,1.7986985487096883e-29,8.203119584058733e-23,6.638193592224539e-24,4.752688668374939e-30,1.48511028278669e-15,4.706839098000139e-16,3.671875758813179e-21,4.649498639026526e-23,7.101384154478998e-20,2.300712044217724e-26
4.370024392791453e-14,0.13078664466155882,0.46346346346346345,0.0,0.0,0.0,0.0730730722966068,7.051116486522532e-31,5.412753696025929e-14,2.6899112279405095e-18,4.442414845895704e-19,1.354982008232383e-15,4.689313052487831e-22,3.76418994452658e-14,1.8124894408512642e-20,0.0,0.46346346346346345,2.5107409738909184e-12,5.281896901026856e-10,5.282127208740347e-10,4.914741124719671e-10,1.4137042709381271e-12,1.0908164848624768e-12,1.4033454350296547e-16,1.2873616664867455e-21,2.4300750316433657e-23,7.825428647232998e-29,2.450586344184712e-22,1.9815746591339925e-23,2.0902193547869146e-29,3.078803963872562e-15,9.758048191107549e-16,8.941361734386284e-21,1.687793340750312e-22,1.439505894174889e-19,6.91297212846613e-26
7.059270874417728e-14,0.13078664472406384,0.46346346346346345,0.0,0.0,0.0,0.0730730718187813,5.200546345257037e-30,1.4072837211180705e-13,6.9938727814209e-18,1.15499553143293e-18,3.5230534785915686e-15,2.0160163527726342e-21,9.786573182315694e-14,4.713226664104851e-20,0.0,0.46346346346346345,4.061716023514435e-12,8.532159396333086e-10,8.532758191152026e-10,7.938786145054843e-10,2.2836246232739097e-12,1.7619357774949066e-12,3.648476424547919e-16,3.916577815713691e-21,1.2696217512747286e-22,4.893424322095739e-28,1.0402578267601051e-21,8.402356974246998e-23,1.5149253253087012e-28,8.004416530623958e-15,2.537072177934959e-15,2.720397314036522e-20,8.818496947994083e-22,3.574371577330354e-19,2.972106106446126e-25
1.243776383767028e-13,0.13078664484909067,0.46346346346346345,0.0,0.0,0.0,0.0730730708631303,5.496764154306973e-29,4.361693806183225e-13,2.167829330196757e-17,3.579721608489584e-18,1.0920394729027832e-14,1.1351593187333543e-20,3.033159949092069e-13,1.4612930542266344e-19,0.0,0.46346346346346345,7.1772093619207336e-12,1.503237138410895e-09,1.5034227325489057e-09,1.3985931547180763e-09,4.023346660902454e-12,3.103824480223674e-12,1.1307116934412125e-15,1.3680112724550357e-20,8.312354772015684e-22,3.651159443873978e-27,5.705836095164726e-21,4.608345403901477e-22,1.5473669958664212e-27,2.4806793652639493e-14,7.863583253886976e-15,9.503034790094238e-20,5.7741410198121324e-21,1.0127500696048065e-18,1.673623731171681e-24
2.319474976417538e-13,0.1307866450992111,0.46346346346346345,0.0,0.0,0.0,0.07307306895182832,7.11248172398398e-28,1.5159017711138851e-12,7.535455524150285e-17,1.2441017517527591e-17,3.796163766046921e-14,7.53674490834441e-20,1.0541278470724005e-12,5.081465269843767e-19,0.0,0.4634634634634634,1.3462371704344949e-11,2.8031543461233584e-09,2.8037994146815447e-09,2.607644490018324e-09,7.502316163909243e-12,5.7862030844848914e-12,3.9291751644957015e-15,5.1256628477290266e-20,6.068299999136686e-21,2.882139025540218e-26,3.5987463846571697e-20,2.9271081441380245e-21,1.884887943746098e-26,8.620264551829778e-14,2.7331647598917114e-14,3.5613801955432573e-19,4.216163725212835e-20,2.989591766607399e-18,1.1113388285404138e-23
